building_id,puma,income,is_care,annual_kwh,scaling_factor,cec_cz,tou_d_4_9_bill,tou_d_4_9_f_bill,F0_WF0_ROE0_bill,F0_WF0_ROE1.0_bill,F0_WF1_ROE0_bill,F50_WF0_ROE0_bill,F50_WF1_ROE1.0_bill,F100_WF0_ROE0_bill
100005,G06005924,high,False,11860.042,0.8648656126453748,8,4968.786404000003,4701.164430000001,4971.4497027,4913.180112699999,4181.095731699999,4532.692901,3864.8014709000004,4094.110163200001
100017,G06003760,low,True,1657.437,0.8536704995961909,6,376.28806432500085,395.7058755000004,376.19269249500013,370.9123589925001,304.57327482000005,480.72297416250007,360.84960479999995,585.285422805
100062,G06003739,high,False,2296.21,0.995376512581759,9,773.0657999999981,954.9439299999998,772.9096434000002,762.0629654,625.7991448000001,1437.4465753000002,1006.1964015,2102.0457079000003
100064,G06007111,medium,False,3148.42,0.8407500276235722,10,1057.2070099999971,1199.0312700000002,1057.0679049000003,1042.2244302000001,855.7550882999999,1628.6213137,1177.4363614,2200.2602794
100096,G06005926,high,False,10550.974,0.8648656126453748,8,4170.179478000004,3964.0837000000065,4169.8516652,4120.241814099999,3497.2034495000007,3932.8274180000008,3308.3014978,3696.0507107000003
100118,G06005912,high,False,4350.091,0.8536704995961909,6,1490.8526370000009,1576.19836,1490.4559071999997,1470.0822453999995,1214.3147462999996,1933.6358286999998,1454.9372664000002,2376.8931737000003
100153,G06003718,high,False,6118.508,0.995376512581759,9,2179.912766000004,2182.14289,2179.738979700001,2150.8277391000006,1787.5994751000003,2423.9313810000003,1902.5574653,2668.2920802000003
100162,G06003772,high,False,6364.802,0.995376512581759,9,2274.359704000005,2265.01401,2276.7704748000006,2246.5998523000007,1867.5942796000002,2491.741103,1964.1001875999996,2706.8669121000003
100163,G06007101,low,True,3515.2509999999997,1.0497359105206039,14,798.9471834750004,759.4258455000008,799.2605648475002,788.0331108375001,647.1657236249999,765.7418505899999,616.2780472950001,732.2383305000001
100178,G06006502,medium,False,5599.6720000000005,1.4172145412832236,15,2041.5172639999987,2068.132679999999,2041.9399470000005,2014.6266516000007,1671.4102507000005,2323.2423225000002,1809.8015201000003,2604.6610191000004
100205,G06007101,low,True,8226.082,1.0497359105206039,14,2103.40391895,1914.4314675000007,2104.364221065001,2077.6074936300006,1741.473169762501,1709.2632356175009,1482.2468514524999,1314.2714571225001
100216,G06007101,medium,False,2465.49,1.0497359105206039,14,817.6904800000025,991.6124500000024,816.2264758000001,804.7256783999999,660.2747803,1465.5977916000002,1031.0987856,2115.0374876
