Scenario,Fixed_Pct_TD,Remove_Wildfire,ROE_Reduction,Fixed_CARE,Fixed_NonCARE,Scaling,Vol_Avg,Total_Revenue,summer_peak,summer_offpeak,winter_peak,winter_midpeak,winter_offpeak
F50_WF0_ROE1.0,50,False,1.0,18.3375,73.9414,0.7456,0.3332,13007470754.4563,0.4419,0.2886,0.4153,0.3109,0.2811
F50_WF0_ROE1.5,50,False,1.5,18.0351,72.7221,0.7443,0.3326,12926553397.691,0.4411,0.288,0.4145,0.3104,0.2806
F50_WF1_ROE0,50,True,0.0,11.6417,46.9421,0.6986,0.3122,10967864892.1261,0.4141,0.2704,0.3891,0.2913,0.2634
F50_WF1_ROE0.5,50,True,0.5,11.3972,45.9563,0.6965,0.3112,10886947535.3609,0.4128,0.2695,0.3879,0.2904,0.2626
F50_WF1_ROE1.0,50,True,1.0,11.155,44.9799,0.6943,0.3102,10806030178.5956,0.4115,0.2687,0.3867,0.2895,0.2618
F50_WF1_ROE1.5,50,True,1.5,10.9152,44.0131,0.6921,0.3093,10725112821.8304,0.4102,0.2678,0.3855,0.2886,0.2609
F75_WF0_ROE0,75,False,0.0,28.424,114.6129,0.6224,0.2781,13169305467.9868,0.3689,0.2409,0.3467,0.2596,0.2347
F75_WF0_ROE0.5,75,False,0.5,27.9633,112.7554,0.6232,0.2785,13088388111.2216,0.3694,0.2412,0.3471,0.2599,0.2349
F75_WF0_ROE1.0,75,False,1.0,27.5062,110.9121,0.6238,0.2788,13007470754.4563,0.3698,0.2414,0.3475,0.2601,0.2352
F75_WF0_ROE1.5,75,False,1.5,27.0526,109.0831,0.6245,0.279,12926553397.691,0.3701,0.2417,0.3478,0.2604,0.2354
F75_WF1_ROE0,75,True,0.0,17.4625,70.4132,0.6213,0.2776,10967864892.1261,0.3683,0.2404,0.3461,0.2591,0.2342
F75_WF1_ROE0.5,75,True,0.5,17.0957,68.9344,0.6208,0.2774,10886947535.3609,0.3679,0.2402,0.3458,0.2589,0.234
F75_WF1_ROE1.0,75,True,1.0,16.7325,67.4699,0.6202,0.2771,10806030178.5956,0.3676,0.24,0.3455,0.2586,0.2338
F75_WF1_ROE1.5,75,True,1.5,16.3729,66.0196,0.6196,0.2769,10725112821.8304,0.3672,0.2398,0.3451,0.2584,0.2336
F100_WF0_ROE0,100,False,0.0,37.8987,152.8172,0.4966,0.2219,13169305467.9868,0.2943,0.1922,0.2766,0.2071,0.1872
F100_WF0_ROE0.5,100,False,0.5,37.2844,150.3405,0.4993,0.2231,13088388111.2216,0.296,0.1932,0.2781,0.2082,0.1883
F100_WF0_ROE1.0,100,False,1.0,36.6749,147.8828,0.502,0.2243,13007470754.4563,0.2976,0.1943,0.2796,0.2094,0.1893
F100_WF0_ROE1.5,100,False,1.5,36.0701,145.4441,0.5047,0.2255,12926553397.691,0.2991,0.1953,0.2811,0.2105,0.1903
F100_WF1_ROE0,100,True,0.0,23.2833,93.8843,0.544,0.2431,10967864892.1261,0.3224,0.2105,0.303,0.2268,0.2051
F100_WF1_ROE0.5,100,True,0.5,22.7943,91.9125,0.5451,0.2436,10886947535.3609,0.3231,0.2109,0.3036,0.2273,0.2055
F100_WF1_ROE1.0,100,True,1.0,22.31,89.9598,0.5461,0.244,10806030178.5956,0.3237,0.2113,0.3042,0.2277,0.2059
F100_WF1_ROE1.5,100,True,1.5,21.8305,88.0261,0.5471,0.2445,10725112821.8304,0.3243,0.2117,0.3047,0.2281,0.2063
