scenario,care_status,n_buildings,mean_bill,median_bill,p10_bill,p90_bill,mean_kwh
e_tou_c,CARE,6240,1656.449101670608,1425.3164934125011,496.62817017449856,3103.5124182595005,6084.7411
e_tou_c,non-CARE,16482,3625.0532424356784,3037.5803515899993,1170.839317894001,6803.67447331401,8439.823918031792
e_tou_c_f,CARE,6240,1495.6932955907107,1297.8467665914998,499.5951541214994,2738.004950055498,6084.7411
e_tou_c_f,non-CARE,16482,3404.0218659617426,2902.0548549799996,1301.3948466840009,6130.023702254003,8439.823918031792
F0_WF0_ROE0,CARE,6240,1673.07758999965,1440.3659260250001,503.53043203320004,3134.0484832410025,6084.7411
F0_WF0_ROE0,non-CARE,16482,3645.972915454025,3056.33094111,1177.157514678,6835.521589479999,8439.823918031792
F0_WF0_ROE1.0,CARE,6240,1654.6569779704002,1424.749447875,497.28094293020007,3100.077605664003,6084.7411
F0_WF0_ROE1.0,non-CARE,16482,3606.878239414315,3023.369031,1163.08894139,6763.90190022,8439.823918031792
F0_WF1_ROE0,CARE,6240,1219.6808830809937,1038.9277889900002,350.5838100856,2328.555378207501,6084.7411
F0_WF1_ROE0,non-CARE,16482,2683.8653277876374,2235.5574724499998,826.499313608,5097.729053610001,8439.823918031792
F50_WF0_ROE0,CARE,6240,1458.03990827665,1282.050435835,605.5261675671001,2547.9992561335016,6084.7411
F50_WF0_ROE0,non-CARE,16482,3692.893240725903,3251.11445155,1869.630212572,6061.7948463699995,8439.823918031792
F50_WF1_ROE1.0,CARE,6240,1114.8222001131292,958.1983057695002,386.0989687876001,2057.5528336190005,6084.7411
F50_WF1_ROE1.0,non-CARE,16482,2664.027835634428,2278.9181111,1088.2071241200001,4704.25868608,8439.823918031792
F100_WF0_ROE0,CARE,6240,1243.2703132046604,1115.9715379775,708.4413889333,1953.151869283,6084.7411
F100_WF0_ROE0,non-CARE,16482,3740.4051634120333,3445.4113492999995,2553.4030633959997,5277.207649909999,8439.823918031792
