scenario,care_status,n_buildings,mean_bill,median_bill,p10_bill,p90_bill,mean_kwh
tou_dr,CARE,1105,1758.7211430081622,1533.7936194587937,599.7288932649019,3317.076825292523,6071.145227149321
tou_dr,non-CARE,3212,3806.9198022948594,3300.638125734571,1350.5978201449973,6925.664678239135,8051.00876618929
tou_dr_f,CARE,1105,1789.062844465039,1568.226585827603,658.2011835826002,3311.6237736114676,6071.145227149321
tou_dr_f,non-CARE,3212,3637.9208935887104,3192.7310992294315,1479.2901155249992,6369.197861740243,8051.00876618929
F0_WF0_ROE0,CARE,1105,1758.7335682986431,1533.8045563154994,599.7340144000799,3317.103845249123,6071.145227149321
F0_WF0_ROE0,non-CARE,3212,3806.94671309999,3300.664055489575,1350.604404034,6925.689845208134,8051.00876618929
F0_WF0_ROE1.0,CARE,1105,1728.6731241261143,1506.179536690499,588.4904122498799,3263.399018225723,6071.145227149321
F0_WF0_ROE1.0,non-CARE,3212,3743.6577445985267,3244.283728939574,1325.7575844149999,6815.821158928133,8051.00876618929
F0_WF1_ROE0,CARE,1105,1582.708585362214,1373.5297149135233,533.89218643488,3002.651833285523,6071.145227149321
F0_WF1_ROE0,non-CARE,3212,3436.3448454323375,2969.964862748642,1202.544223795,6282.286911998132,8051.00876618929
F50_WF0_ROE0,CARE,1105,1687.6817046136368,1507.0065561668998,849.2799038998801,2843.269338026723,6071.145227149321
F50_WF0_ROE0,non-CARE,3212,3831.422722608272,3444.261219138132,2022.197671704,6149.772641013812,8051.00876618929
F50_WF1_ROE1.0,CARE,1105,1501.154795231025,1326.690323059523,703.1785071388799,2605.9534060959236,6071.145227149321
F50_WF1_ROE1.0,non-CARE,3212,3390.5955362547847,3019.0622001381316,1662.8575156339998,5607.440608553813,8051.00876618929
F100_WF0_ROE0,CARE,1105,1616.6285529953427,1481.512734502523,1100.3900566461,2368.2346522149232,6071.145227149321
F100_WF0_ROE0,non-CARE,3212,3855.8939384196037,3591.078513838132,2694.354725691,5376.697674163813,8051.00876618929
