building_id,puma,income,is_care,annual_kwh,scaling_factor,tou_dr_bill,tou_dr_f_bill,F0_WF0_ROE0_bill,F0_WF0_ROE1.0_bill,F0_WF1_ROE0_bill,F50_WF0_ROE0_bill,F50_WF1_ROE1.0_bill,F100_WF0_ROE0_bill
100190,G06007312,low,True,2509.6910000000003,0.7130643653791515,656.835301924198,713.2235982129991,656.8390564659001,644.5026763119,584.6058644769,887.7828197559,739.3315328859001,1118.7107634309
100227,G06007317,low,True,3327.741,0.7130643653791515,869.4883734201042,920.2050494419968,869.4930015009,853.1575132059,773.8416245889001,1032.2910975999,875.2467529838999,1195.0674992079
100321,G06007330,medium,False,1883.0900000000001,0.7130643653791515,795.5996077100027,994.30800389,795.6040371000001,780.7190904,708.4067750000002,1644.7177683999998,1307.867084,2493.8488307999996
100325,G06007301,low,True,7192.1720000000005,0.7130643653791515,2087.0972598345247,2108.013051924671,2087.1089132595234,2051.668805185523,1879.5904503315228,1924.3982559285232,1726.3096240635227,1761.645103144523
100368,G06007301,medium,False,7479.414000000001,0.7130643653791515,3471.399994828131,3341.8843593152396,3471.425597688132,3412.8139459881318,3128.2423384881317,3575.6592327881317,3144.881770688132,3679.843976688132
100534,G06007315,low,True,4967.708,0.7130643653791515,1347.4179931767233,1386.5239115806703,1347.426804205523,1322.967041857523,1204.202778400523,1371.797102551523,1197.301825912523,1396.141191259523
100684,G06007310,medium,False,5278.127,0.7130643653791515,2341.3270331788112,2352.92553609227,2341.345959538811,2299.5706944388107,2096.723848738811,2732.4061815388104,2337.808465838811,3123.4633072388106
100775,G06007322,medium,False,4711.441000000001,0.7130643653791515,2022.8342770893257,2070.2449628324025,2022.84674612932,1985.90491302932,1806.5344970293202,2496.26359142932,2112.03272952932,2969.6661910293196
101010,G06007324,low,True,8204.323,0.7130643653791515,2444.7493831749216,2459.606607748668,2444.7699226995237,2404.018764055523,2206.137517723523,2191.5686289015234,1982.071786936523,1938.3983400495235
10121,G06007315,low,True,4368.922,0.7130643653791515,1234.1653989651027,1280.1523030379983,1234.1748292461,1212.2188079210998,1105.5599797851,1301.0931681411003,1131.9750951591,1368.0408157701
101305,G06007316,medium,False,5639.6320000000005,0.7130643653791515,2478.4136620581316,2467.497705705245,2478.420422088132,2434.558273688132,2221.566127988132,2833.831897088132,2434.713887588132,3189.1779675881317
101323,G06007326,low,True,9643.987000000001,0.7130643653791515,2927.999293971024,2931.493241505669,2928.025277533523,2880.093788200524,2647.3792419195233,2552.5945855845234,2327.677167280523,2177.2013735325236
101366,G06007326,medium,False,5284.965,0.7130643653791515,2302.8769636381344,2314.471413545807,2302.889589758133,2261.675221158133,2061.5458505581328,2703.444325458133,2310.025222658133,3103.967868558133
101374,G06007313,medium,False,13416.431,0.8407500276235722,6568.112884529999,6060.719162309431,6568.143062449999,6462.953001749997,5952.0796099499985,5878.3356820499985,5347.472866249999,5188.495722449999
101377,G06007312,medium,False,3775.219,0.7130643653791515,1568.917109800507,1670.8389425295602,1568.9258014805077,1539.4648432805077,1396.4147614805079,2169.771100380508,1801.608278180508,2770.5799092805078
101468,G06007317,high,False,14110.456,0.7130643653791515,6982.747182168132,6425.574783355236,6982.789607288132,6872.054342488131,6334.361066088131,6198.887504688131,5656.100039688133,5414.981101888132
101479,G06007316,high,False,5920.700000000001,0.7130643653791515,2620.057174438124,2591.0892866052463,2620.0619334881317,2574.102434988132,2350.901408788132,2939.6488468881316,2536.017253588132,3259.164144188132
101659,G06007325,low,True,2856.9519999999998,0.8407500276235722,748.9984981814998,803.1466809730009,749.0016382967999,734.9404674527999,666.6604026138,950.5377560748,798.3771508578,1152.0638244078
102003,G06007326,medium,False,6330.257,0.7130643653791515,2857.966794208132,2802.535226155242,2857.985134488132,2808.484483288132,2568.130103888132,3117.3765751881315,2706.1679559881322,3376.7183711881316
102110,G06007326,high,False,6438.596,0.7130643653791515,2993.0846366091514,2929.2182699955047,2993.1190594491504,2941.6981245491506,2692.07743714915,3220.1071218491497,2804.79902994915,3447.1644046491497
102197,G06007325,low,True,4891.8369999999995,0.8407500276235722,1417.3226256935745,1459.7183482309356,1417.3454990972762,1392.6726660242764,1272.9225204182762,1438.3136015132764,1263.3821998772762,1459.3471289252761
102213,G06007301,medium,False,6896.13,0.7130643653791515,3155.936115158134,3063.9246486052407,3155.952145688132,3102.0256935881316,2840.1919350881317,3339.9892186881316,2919.2597816881316,3523.9767719881315
102225,G06007317,low,True,3388.509,0.7130643653791515,884.9833792884004,935.232294157001,884.9873130021002,868.3593928191001,787.6230878060999,1042.8013729461,885.1277188731,1200.5908367451
102285,G06007307,low,True,4706.42,0.8407500276235722,1258.9258587380982,1301.5643116420001,1258.9351411455,1235.6081216955001,1122.3284370165,1302.5732843325,1130.5124603085,1346.2047118455
102371,G06007315,medium,False,4733.499,0.7130643653791515,2006.0047113386327,2052.798140375371,2006.0138479186407,1969.263978018641,1790.8027992186408,2482.587988218641,2098.757122718641,2959.1183071186406
102438,G06007314,medium,False,2986.589,0.7130643653791515,1237.904039250001,1380.2015149800018,1237.90916587,1214.6506270699997,1101.7123014699998,1944.4203828699997,1589.5803643699999,2650.89995267
102842,G06007323,high,False,5674.845,0.7130643653791515,2518.03749923813,2504.7395144652387,2518.051507688132,2473.5985396881324,2257.735042588132,2863.4170222881316,2463.042887488132,3208.764371188132
10290,G06007314,high,False,5886.477,0.7130643653791515,2625.3066762981166,2598.4678121652437,2625.326021488132,2579.275521888132,2355.6929466881325,2943.563168488132,2539.7735439881317,3261.752537188132
102932,G06007316,low,True,3462.819,0.7130643653791515,918.6362655435008,969.8769184159995,918.6448450851001,901.4370160131001,817.8967543131,1066.6332297291,907.7235344301,1214.6148837051
102939,G06007315,medium,False,4741.602,0.7130643653791515,2022.1674169881278,2068.959724715242,2022.182459708132,1985.1117979081316,1805.122032808132,2493.3958991081317,2108.892758208132,2964.569640308132
103004,G06007313,high,False,6613.454,0.8407500276235722,2967.4088774799975,2898.86101787943,2967.417948049999,2915.6717849499983,2664.3512466499988,3188.372200349999,2772.308740049999,3409.2666560499993
103089,G06007330,medium,False,1146.5970000000002,0.7130643653791515,472.3618113100008,708.848207660001,472.3627633100001,463.47786051,420.3274891100001,1423.7685164099998,1099.81090241,2375.1621170099997
103245,G06007311,medium,False,3748.147,0.7130643653791515,1569.1748985700006,1671.7164284200014,1569.18444731,1539.8652060100003,1397.4699013099998,2172.34337011,1804.48467841,2775.4876013099997
103273,G06007326,low,True,11562.542000000001,0.7130643653791515,3555.814871648422,3542.7170654296665,3555.846778987523,3498.6014208735237,3220.635736324523,3021.611225620523,2776.683698050523,2487.413628997523
103289,G06007307,medium,False,6162.385,0.8407500276235722,2743.894521549996,2704.3618535294313,2743.919944449999,2695.4732444499996,2460.2653160499995,3021.382682049999,2612.451560149999,3298.818742249999
103321,G06007313,medium,False,4741.360999999999,0.8407500276235722,1999.36226567813,2048.1704258352447,1999.3741687581323,1962.392791658132,1782.834948258132,2472.100099558132,2087.784329958132,2944.779082658132
103595,G06007307,high,False,15005.917000000001,0.8407500276235722,7438.1006702099985,6828.077774889432,7438.153053449998,7320.021380949999,6746.428585549998,6528.286191349999,5969.641329249999,5618.436362249999
