building_id,income,annual_kwh,pre_fixed_bill,post_fixed_bill,pre_fixed_tou_bill,post_fixed_tou_bill,new_F0_WF0_ROE0_bill,new_F0_WF0_ROE1.5_bill,new_F0_WF1_ROE0_bill,new_F0_WF1_ROE1.5_bill,new_F25_WF0_ROE0_bill,new_F50_WF0_ROE0_bill,new_F50_WF0_ROE1.5_bill,new_F50_WF1_ROE0_bill,new_F50_WF1_ROE1.5_bill,new_F75_WF0_ROE0_bill,new_F75_WF1_ROE0_bill,new_F75_WF1_ROE1.5_bill
372090,medium,11568.855,5717.823377049999,5324.50475685,6161.25830938,5711.1376818399995,6064.514400800029,5772.241707900001,5471.518428099998,5179.678798000016,5531.511687600014,4998.3105432999955,4706.56309270001,4405.585409700007,4113.401792299965,4465.472417599982,3872.509548299988,3580.3990790999906
283615,medium,17052.984,8653.819969,7906.972975680001,9178.45762929,8374.85865593,9072.984675800037,8635.65555910004,8185.70610630002,7749.031141200009,8112.277979899983,7151.164462300028,6714.7197659999965,6264.276810599994,5827.248679599962,6190.672131299979,5303.60786660002,4866.541983699989
13017,high,2935.9079999999994,1248.23064528,1393.0974747599998,1574.0733128000002,1680.2195033600003,1569.6234768000716,1493.9665251999916,1416.0930468000267,1340.6036024000152,1675.7058371999913,1781.7075575999847,1706.1854012,1628.2993171999956,1552.6839343999864,1887.7987556000278,1734.3779287999987,1658.7662948000198
229938,low,11940.652000000002,5916.89525337,5277.778726939999,6475.718331800001,5779.11218322,6374.21160740003,6066.971507700021,5750.887342699965,5444.038516800008,5599.650550700005,4824.850168699999,4518.214531199994,4201.7249295999845,3894.6891253999756,4050.463200700008,3427.1771201999854,3120.1292687
383758,high,6377.126,2977.4555083999994,2914.10776702,3347.3500642199997,3231.5480327800005,3318.9149668000673,3159.0267201999804,2994.377614000027,2834.803439799995,3176.267987499972,3033.5590388999813,2873.821014400015,2709.28157520005,2549.2895058999657,2890.9461291000043,2566.4765898999995,2406.6425265999947
35315,low,12053.524000000001,5977.45937771,5331.050216179999,6569.348340869999,5865.27634667,6482.561783999991,6170.079023600003,5848.619126100008,5536.500184500011,5692.612817799996,4902.375113500044,4590.552793299983,4268.600921099999,3956.3871928999656,4112.603696100009,3478.726833799986,3166.4394267000175
367400,high,3225.237,1381.3379620599999,1510.1779506900002,1716.7806211900001,1804.0893981099998,1698.2805046000165,1616.4422865999932,1532.1875923000166,1450.5108045000186,1786.0595489000398,1873.7921637999775,1792.0670794000025,1707.8222011999965,1625.9962891999648,1961.5994317999898,1795.575070999997,1713.7753335000045
511701,medium,11534.231000000002,5656.44123541,5270.51539357,6248.492320450001,5799.937761710001,6177.710996200069,5879.959502800028,5573.599536700013,5276.248647999986,5628.646106499981,5079.324527700004,4782.126943700006,4475.438757000009,4177.826222299982,4530.381942400033,3926.3379101000032,3628.7613326000064
288993,low,4500.424,1983.43809109,1817.9539557800001,2376.3182254999997,2159.6873646200006,2350.3190907999697,2237.0730961999793,2120.488629000003,2007.449458599993,2147.8463351000037,1945.312858399995,1832.214415799989,1715.6422653999985,1602.374571499996,1742.8811783,1513.1020549999996,1399.903015800001
88113,medium,7869.765,3737.201398439999,3582.37286985,4188.78470619,3977.00673569,4133.867157399993,3934.6433541999777,3729.640598300089,3530.7340255000136,3875.3649072000135,3616.7179952000097,3417.8399607999604,3212.7003481999823,3013.5223532999785,3358.3085336999957,2954.1355879999983,2755.0201030999915
