building_id,puma,income,is_care,annual_kwh,scaling_factor,tou_dr_bill,tou_dr_f_bill,F0_WF0_ROE0_bill,F0_WF0_ROE1.0_bill,F0_WF1_ROE0_bill,F50_WF0_ROE0_bill,F50_WF1_ROE1.0_bill,F100_WF0_ROE0_bill,assigned_pv,assigned_battery,assigned_ev,assigned_hp,ev_daily_miles,baseline_gas_therms,gas_savings_therms,grid_import_kwh_s1_ev,grid_export_kwh_s1_ev,export_value_s1_ev,self_consumption_kwh_s1_ev,self_sufficiency_s1_ev,F0_WF0_ROE0_bill_s1_ev,F0_WF0_ROE1.0_bill_s1_ev,F0_WF1_ROE0_bill_s1_ev,F50_WF0_ROE0_bill_s1_ev,F50_WF1_ROE1.0_bill_s1_ev,F100_WF0_ROE0_bill_s1_ev,tou_dr_bill_s1_ev,tou_dr_f_bill_s1_ev,pv_size_kw_s2,grid_import_kwh_s2_pv_stor,grid_export_kwh_s2_pv_stor,export_value_s2_pv_stor,self_consumption_kwh_s2_pv_stor,self_sufficiency_s2_pv_stor,F0_WF0_ROE0_bill_s2_pv_stor,F0_WF0_ROE1.0_bill_s2_pv_stor,F0_WF1_ROE0_bill_s2_pv_stor,F50_WF0_ROE0_bill_s2_pv_stor,F50_WF1_ROE1.0_bill_s2_pv_stor,F100_WF0_ROE0_bill_s2_pv_stor,tou_dr_bill_s2_pv_stor,tou_dr_f_bill_s2_pv_stor,pv_size_kw_s3,annual_kwh_s3,grid_import_kwh_s3_pv_stor_ev,grid_export_kwh_s3_pv_stor_ev,export_value_s3_pv_stor_ev,self_consumption_kwh_s3_pv_stor_ev,self_sufficiency_s3_pv_stor_ev,F0_WF0_ROE0_bill_s3_pv_stor_ev,F0_WF0_ROE1.0_bill_s3_pv_stor_ev,F0_WF1_ROE0_bill_s3_pv_stor_ev,F50_WF0_ROE0_bill_s3_pv_stor_ev,F50_WF1_ROE1.0_bill_s3_pv_stor_ev,F100_WF0_ROE0_bill_s3_pv_stor_ev,tou_dr_bill_s3_pv_stor_ev,tou_dr_f_bill_s3_pv_stor_ev
101305,G06007316,medium,False,5639.6320000000005,0.7130643653791515,2478.4136620581316,2467.497705705245,2478.420422088132,2434.558273688132,2221.566127988132,2888.6874970881317,2474.4038875881324,3298.8879675881317,1,1,1,0,15.238619846258029,89.42607687720174,89.42607687720174,7493.664081294727,0.0,0.0,0.0,0.0,3367.4394721028425,3310.4015050297867,3033.354328760032,3552.9338566465867,3110.2292052253106,3738.253950443376,3367.475786571608,3237.0489222584565,4.0,1000.7462939383656,2653.0087033148197,898.4844501002075,5089.6487342923065,0.9024788734960554,0.0,0.0,0.0,1157.682,837.6528000000001,2315.3628,0.0,295.15596,4.0,7493.664081294727,1668.3083219917085,1472.7238016411857,806.4539976349726,6269.93363596594,0.8366979848505092,0.0,0.0,0.0,1157.682,837.6528000000001,2315.3628,0.0,295.15596
101323,G06007326,low,True,9643.987000000001,0.7130643653791515,2927.999293971024,2931.493241505669,2928.025277533523,2880.093788200524,2647.3792419195233,2398.5685855845236,2216.230767280523,1869.1493735325234,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101366,G06007326,medium,False,5284.965,0.7130643653791515,2302.8769636381344,2314.471413545807,2302.889589758133,2261.675221158133,2061.5458505581328,2758.2999254581327,2349.715222658133,3213.677868558133,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101374,G06007313,medium,False,13416.431,0.8407500276235722,6568.112884529999,6060.719162309431,6568.143062449999,6462.953001749997,5952.0796099499985,5933.191282049998,5387.162866249999,5298.2057224499995,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101377,G06007312,medium,False,3775.219,0.7130643653791515,1568.917109800507,1670.8389425295602,1568.9258014805077,1539.4648432805077,1396.4147614805079,2224.626700380508,1841.298278180508,2880.289909280508,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101468,G06007317,high,False,14110.456,0.7130643653791515,6982.747182168132,6425.574783355236,6982.789607288132,6872.054342488131,6334.361066088131,6253.743104688131,5695.790039688132,5524.691101888131,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101479,G06007316,high,False,5920.700000000001,0.7130643653791515,2620.057174438124,2591.0892866052463,2620.0619334881317,2574.102434988132,2350.901408788132,2994.5044468881315,2575.7072535881325,3368.874144188132,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101659,G06007325,low,True,2856.9519999999998,0.8407500276235722,748.9984981814998,803.1466809730009,749.0016382967999,734.9404674527999,666.6604026138,796.5117560748,686.9307508577999,844.0118244078,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102003,G06007326,medium,False,6330.257,0.7130643653791515,2857.966794208132,2802.535226155242,2857.985134488132,2808.484483288132,2568.130103888132,3172.232175188132,2745.857955988132,3486.4283711881317,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102110,G06007326,high,False,6438.596,0.7130643653791515,2993.0846366091514,2929.2182699955047,2993.1190594491504,2941.6981245491506,2692.07743714915,3274.9627218491496,2844.48902994915,3556.8744046491497,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102197,G06007325,low,True,4891.8369999999995,0.8407500276235722,1417.3226256935745,1459.7183482309356,1417.3454990972762,1392.6726660242764,1272.9225204182762,1284.2876015132763,1151.9357998772762,1151.295128925276,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102213,G06007301,medium,False,6896.13,0.7130643653791515,3155.936115158134,3063.9246486052407,3155.952145688132,3102.0256935881316,2840.1919350881317,3394.8448186881315,2958.949781688132,3633.6867719881316,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102225,G06007317,low,True,3388.509,0.7130643653791515,884.9833792884004,935.232294157001,884.9873130021002,868.3593928191001,787.6230878060999,888.7753729461001,773.6813188731,892.5388367451001,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102285,G06007307,low,True,4706.42,0.8407500276235722,1258.9258587380982,1301.5643116420001,1258.9351411455,1235.6081216955001,1122.3284370165,1148.5472843325,1019.0660603085,1038.1527118455,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102371,G06007315,medium,False,4733.499,0.7130643653791515,2006.0047113386327,2052.798140375371,2006.0138479186407,1969.263978018641,1790.8027992186408,2537.443588218641,2138.447122718641,3068.8283071186406,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102438,G06007314,medium,False,2986.589,0.7130643653791515,1237.904039250001,1380.2015149800018,1237.90916587,1214.6506270699997,1101.7123014699998,1999.2759828699998,1629.27036437,2760.60995267,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102842,G06007323,high,False,5674.845,0.7130643653791515,2518.03749923813,2504.7395144652387,2518.051507688132,2473.5985396881324,2257.735042588132,2918.272622288132,2502.7328874881323,3318.474371188132,0,0,1,0,19.58149199473915,19.09066416457206,19.09066416457206,8057.25985935993,0.0,0.0,0.0,0.0,3660.433139795606,3599.049361100559,3300.8757151170726,3771.8233311748163,3319.7628083718264,3883.0557809772513,3660.4744816963107,3493.606035089082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
