building_id,puma,income,is_care,annual_kwh,scaling_factor,e_tou_c_bill,e_tou_c_f_bill,F0_WF0_ROE0_bill,F0_WF0_ROE1.0_bill,F0_WF1_ROE0_bill,F50_WF0_ROE0_bill,F50_WF1_ROE1.0_bill,F100_WF0_ROE0_bill,assigned_pv,assigned_battery,assigned_ev,assigned_hp,ev_daily_miles,baseline_gas_therms,gas_savings_therms,pv_size_kw_s2,grid_import_kwh_s2_pv_stor,grid_export_kwh_s2_pv_stor,export_value_s2_pv_stor,self_consumption_kwh_s2_pv_stor,self_sufficiency_s2_pv_stor,F0_WF0_ROE0_bill_s2_pv_stor,F0_WF0_ROE1.0_bill_s2_pv_stor,F0_WF1_ROE0_bill_s2_pv_stor,F50_WF0_ROE0_bill_s2_pv_stor,F50_WF1_ROE1.0_bill_s2_pv_stor,F100_WF0_ROE0_bill_s2_pv_stor,e_tou_c_bill_s2_pv_stor,e_tou_c_f_bill_s2_pv_stor,grid_import_kwh_s1_ev,grid_export_kwh_s1_ev,export_value_s1_ev,self_consumption_kwh_s1_ev,self_sufficiency_s1_ev,F0_WF0_ROE0_bill_s1_ev,F0_WF0_ROE1.0_bill_s1_ev,F0_WF1_ROE0_bill_s1_ev,F50_WF0_ROE0_bill_s1_ev,F50_WF1_ROE1.0_bill_s1_ev,F100_WF0_ROE0_bill_s1_ev,e_tou_c_bill_s1_ev,e_tou_c_f_bill_s1_ev,pv_size_kw_s3,grid_import_kwh_s3_pv_stor_ev,grid_export_kwh_s3_pv_stor_ev,export_value_s3_pv_stor_ev,self_consumption_kwh_s3_pv_stor_ev,self_sufficiency_s3_pv_stor_ev,F0_WF0_ROE0_bill_s3_pv_stor_ev,F0_WF0_ROE1.0_bill_s3_pv_stor_ev,F0_WF1_ROE0_bill_s3_pv_stor_ev,F50_WF0_ROE0_bill_s3_pv_stor_ev,F50_WF1_ROE1.0_bill_s3_pv_stor_ev,F100_WF0_ROE0_bill_s3_pv_stor_ev,e_tou_c_bill_s3_pv_stor_ev,e_tou_c_f_bill_s3_pv_stor_ev,annual_kwh_s3
35404,G06008512,high,False,8308.932,0.8079209467363546,3628.1314362100043,3417.0011862500014,3628.0174438,3588.8370223,2663.1323741,3689.6150184999997,2648.7599517,3750.9926833,1,1,0,0,0.0,191.26934347145507,191.26934347145507,4.087037994871305,3364.7462838801025,2261.678371553738,1722.3811100023152,5216.360428446265,0.6278015548142968,0.0,0.0,0.0,1079.4360000000001,434.78639999999996,2158.8732,0.0,295.15596,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354075,G06002906,high,False,16610.875,0.9082432929445241,7516.955229949999,6766.0456267000045,7516.684739,7438.0207834,5578.9803789,6552.1060996,5111.7340936,5586.9446372,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354082,G06000300,medium,False,1573.9969999999998,0.8960338247617118,585.8454047699976,797.9415430800002,585.82717758,578.5534346800001,406.7504089800001,1476.36023788,758.1762672799999,2366.85665498,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354126,G06000101,high,False,9382.707,0.7640705232624861,3906.2055754300122,3623.100187219998,3906.145312,3864.1689151000005,2873.5391035,3896.3283723000004,2827.6545879,3886.3644427,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354127,G06007902,medium,False,1403.383,0.8079209467363546,538.5483077100002,759.6477468,538.52502342,531.88397132,374.92856712,1445.38911172,733.5580881200001,2352.20394612,1,1,0,0,0.0,14.467122208742456,14.467122208742456,4.0,1067.1906211045912,6687.081487490614,2347.3770585411917,631.7042046257375,0.45012958303309747,0.0,0.0,0.0,1079.4360000000001,434.78639999999996,2158.8732,0.0,295.15596,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354181,G06009501,high,False,7543.911,0.8960338247617118,3141.6018723099965,2986.2557139800015,3141.5216932,3106.8279991000004,2287.5602851,3320.1447715000004,2324.8254839,3498.5921135,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354187,G06001310,high,False,10093.183,0.7640705232624861,4318.368507090005,3987.639912600002,4318.2684372,4272.2427854,3185.4821854,4202.773714,3092.9550765999998,4087.0506813,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354249,G06001305,medium,False,7564.378000000001,0.8960338247617118,3147.7758609600032,2986.55306562,3147.7008834000003,3113.2383266,2299.5765689000004,3332.4914782,2339.5572624,3517.1000709,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354255,G06007509,medium,False,3738.0240000000003,0.7640705232624861,1475.1068325699985,1557.0000738500003,1475.0680186,1458.0210805,1055.5096353,2111.9322099,1294.9893134999998,2748.7031943,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354280,G06004701,high,False,9857.071000000002,0.8960338247617118,4215.202692170005,3916.470099040008,4215.070743800001,4169.0174065,3081.0465426000005,4098.2610301,2987.9357235,3981.1726132000003,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354306,G06001901,medium,False,6534.089,0.9082432929445241,2790.581654970001,2707.9032576600025,2790.45087744,2758.93867534,2013.8204208399998,3050.64452494,2087.06737714,3310.5634678399997,1,1,0,0,0.0,84.74078484688684,84.74078484688684,4.0,3483.6909359024557,4093.0967466677794,1897.1899289025514,3307.3434417352755,0.5061674920153789,0.0,0.0,0.0,1079.4360000000001,434.78639999999996,2158.8732,0.0,295.15596,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354334,G06008519,medium,False,7927.305,0.8079209467363546,3486.69690424,3301.147112089996,3486.5849464,3448.8061866999997,2556.0985539999997,3584.4551479,2557.7421643,3682.1325960999993,1,1,1,0,37.985362551282996,183.07451658369573,183.07451658369573,4.0,3508.1755616727833,2592.1109045567778,1747.0012036637731,4726.674787559574,0.5962524196507607,0.0,0.0,0.0,1079.4360000000001,434.78639999999996,2158.8732,0.0,295.15596,12548.85744373943,0.0,0.0,0.0,0.0,5544.234309300458,5486.1194526692725,4113.355340403667,5114.289034899137,3882.057513394167,4683.996533390102,5544.392609282795,5049.06015682893,4.0,7316.242571658448,1775.0205252673422,1662.4584538712422,5543.765166849009,0.4417744955430001,1416.1449506599022,1382.4492954133395,586.1469594602152,1620.0899984835248,634.5406616421963,2158.8732,1416.274152419004,1270.9158374116225,12548.85744373943
