ExternalReference,climatezone,dac,age,gender,income,education,race,ideology,born_us,employment,home_type,household_numpeople,home_own,home_area,home_age,charging_work,rangeanxiety,vehicle_next_used,vehicle_num,primary_heating_type,primary_cooling_type,hotwater_energy,hotwater_nextelec,heatpump_direct,therm_summer,therm_winter,ac_unit_number,kitchen_range_type,induction_direct,heating_cost_burden,elec_savemoney,elec_health,elec_safety,upfrontpayback,lowincome_sup,outage_impact,outage_generatorown,outage_generatorplan,elec_avail,hvac_avail,ccinsure_lost,solstor_wtp_dv,ev_wtp_pc,heatpump_wtp_pc,induction_dv,PV,PS,EV,HP,IC,yale_worried,cclive,ccpastmove,ccfuturemove,homevac,ccmove_where,charging_access,charging_5mile_r,charging_5mile_f,previous_heating_type,electrification,peer_EV,peer_IC,peer_HP,peer_PV,cost_combo_winter_final,cost_combo_summer_final,vehicle_comb_miles,ccinsure_both,pid_composite,future_EV_0,future_EV_low,future_EV_high,future_PV,future_PS_0,future_PS_low,future_PS_high,future_HP_0,future_HP_low,future_HP_high,future_IC_0,future_IC_low,future_IC_high,wt_ca,tractid
ULWHV,4,1,60,Female,75000,some college,Non-hispanic other,4,1,0,SF,3,1,2750,Older,0,150,0,2,Gas,Room,Gas,0,0,7,1,1,Elec,0,2,1,3,2,1,0,2,0,2,4,4,0,NA,8000,20000,NA,0,0,0,0,0,4,4,1,1,2,0,none,1,1,Gas,No_prefer,peer,peer,none,peer,350,350,12500,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.433313400599849,06085504418
ZPOVC,4,0,90,Male,225000,college,White,2,1,0,SF,2,1,1750,Older,0,350,1,4,Gas,Central,Gas,0,0,5,5,NA,Elec,0,5,2,3,2,1,0,1,1,1,4,4,0,NA,8000,6000,NA,1,1,1,0,1,2,1,1,1,1,1,own,1,1,Gas,Half_elec,neighbor,neighbor,none,neighbor,NA,NA,5000,1,7,1,1,1,1,1,1,1,0,0,0,1,1,1,1.12405613760474,06085512005
UHRJG,4,1,21,Male,225000,HS,Asian,6,1,0,SF,4,1,1750,BrandNew,0,250,0,3,Gas,Central,Gas,1,1,7,3,NA,Gas,1,4,2,5,3,0,0,2,0,1,4,4,0,NA,6000,4000,NA,1,0,1,0,0,4,2,1,1,1,0,own,1,1,Gas,Full_elec,peer,peer,none,peer,250,75,12500,1,1,1,1,1,1,NA,NA,NA,0,1,1,NA,NA,NA,1.43442804484919,06085504506
XVTTR,4,0,40,Female,225000,graduate,Asian,NA,0,1,SF,2,1,2250,BrandNew,1,350,0,2,Gas,Central,Gas,0,0,7,2,NA,Gas,0,3,5,3,2,0,0,2,0,1,4,4,0,NA,8000,4000,NA,0,0,0,0,0,3,2,1,2,1,0,potential,1,1,Gas,Half_elec,neighbor,peer,peer,peer,350,150,12500,1,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,1.10666818447199,06085512025
VKLHU,4,0,60,Male,162500,college,Asian,3,0,1,SF,6,0,1250,BrandNew,1,350,0,4,Gas,Central,Gas,NA,NA,6,2,NA,Gas,NA,3,2,3,2,0,0,3,0,2,2,3,0,NA,6000,NA,NA,0,0,0,0,0,3,2,1,2,1,1,none,1,1,Gas,Half_elec,peer,peer,none,peer,250,250,12500,1,6,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,3.30089262524954,06085504414
PZHII,4,0,70,Male,137500,some college,White,5,1,0,SF,1,1,1250,Older,0,350,1,2,Gas,Central,Gas,1,0,4,4,NA,Elec,1,3,3,3,2,0,0,3,0,1,4,4,0,7500,NA,NA,400,0,0,0,0,1,4,3,3,1,1,0,none,1,1,Gas,Full_fossil,peer,none,none,peer,250,250,20000,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,3.22607359142927,06085512024
MDCPU,4,0,21,Other,85000,some college,Non-hispanic other,7,0,1,MF,2,0,250,BrandNew,0,350,0,2,Not know,None,Gas,NA,NA,7,1,NA,Gas,NA,1,1,3,2,0,0,3,0,1,1,NA,0,NA,15000,NA,NA,0,0,0,0,0,4,2,2,4,1,1,none,0,0,Not know,Half_elec,none,none,none,none,250,75,27500,0,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,3.30089262524954,06085504421
MGRKO,4,1,70,Male,65000,some college,Asian,5,0,0,SF,2,1,1250,Older,0,150,1,2,Gas,Central,Gas,0,1,6,3,NA,Gas,0,3,1,5,3,0,0,2,0,2,3,3,0,10000,6000,NA,500,0,0,0,0,0,3,3,1,1,1,0,potential,0,0,Gas,Full_elec,peer,peer,peer,none,250,150,2500,1,2,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0.760620129493758,06085504418
CDMXL,4,1,50,Female,225000,college,Asian,6,0,1,SF,4,1,1750,BrandNew,1,150,1,2,Gas,Central,Not know,1,0,4,4,NA,Gas,0,3,2,4,2,0,0,2,0,2,3,3,0,1000,2000,NA,100,0,0,1,0,0,3,3,3,3,1,0,own,1,0,Gas,Half_elec,neighbor,peer,none,neighbor,350,250,10000,1,NA,1,1,1,1,0,1,1,0,0,0,0,0,0,0.476004719621543,06085504506
XTFMR,4,0,60,Male,225000,graduate,White,6,0,1,SF,4,1,2250,BrandNew,1,250,1,2,Gas,Central,Gas,1,1,6,4,NA,Gas,1,4,2,4,3,0,0,2,0,2,3,3,0,10000,4000,NA,NA,1,0,1,0,0,4,2,2,2,1,1,own,0,1,Gas,Full_elec,neighbor,peer,none,neighbor,350,250,22500,1,1,1,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,0.696267893016441,06085511916
HMKBR,4,1,40,Male,225000,college,Asian,5,0,1,SF,4,1,2750,BrandNew,1,350,0,3,Gas,Central,Gas,1,1,7,1,NA,Gas,0,3,1,4,2,1,0,2,0,3,3,3,0,7500,10000,NA,NA,1,0,0,0,0,3,3,1,2,1,0,own,1,1,Gas,Half_elec,neighbor,peer,peer,neighbor,150,150,10000,1,NA,0,0,1,1,0,0,1,NA,NA,NA,0,0,0,0.524906020550165,06085504413
RENBO,4,1,70,Female,75000,some college,White,5,1,0,SF,2,1,1250,Older,0,350,0,2,Gas,Other,Gas,0,1,7,3,NA,Elec,1,3,2,3,2,1,0,2,0,3,3,3,0,35000,20000,NA,NA,0,0,0,0,0,3,2,1,2,1,1,none,1,1,Gas,No_prefer,peer,peer,none,peer,250,150,10000,1,3,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0.413223892430236,06085504418
WUKNJ,4,1,40,Male,75000,less than HS,Hispanic,3,0,1,MF,6,0,1250,BrandNew,0,NA,0,2,Elec,Room,Gas,NA,NA,2,5,2,None,NA,2,2,4,3,1,0,2,0,1,4,4,0,NA,8000,NA,NA,0,0,0,0,0,4,2,1,1,1,0,none,0,0,Elec,Half_elec,peer,peer,none,peer,450,350,10000,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,3.30089262524954,06085503304
MPNHM,13,1,60,Female,15000,less than HS,Hispanic,1,1,1,SF,5,0,6000,Older,0,150,0,1,Gas,Central,Gas,NA,NA,7,4,NA,Gas,NA,5,1,3,3,0,0,1,0,1,1,NA,0,NA,2000,NA,NA,0,0,0,0,0,4,4,3,4,1,0,none,0,0,Gas,Half_elec,none,none,none,none,NA,NA,1250,0,7,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.20933956458772,06107000600
CHQDY,12,0,60,Male,55000,some college,White,6,1,0,SF,3,0,1250,Older,0,150,0,2,Gas,Central,Gas,NA,NA,5,5,NA,Elec,NA,3,2,3,3,0,0,2,0,1,3,3,0,NA,6000,NA,NA,0,0,1,0,1,4,4,1,2,1,0,own,1,0,Gas,Full_elec,none,peer,none,none,400,350,2500,0,1,1,1,1,0,0,0,0,NA,NA,NA,1,1,1,2.12911919355022,06067008135
ZXGWQ,4,1,30,Female,55000,college,Asian,4,1,1,SF,3,1,2250,BrandNew,0,NA,1,4,Elec,Central,Not know,1,0,2,6,NA,Elec,1,3,4,3,3,0,0,2,0,3,4,4,0,NA,4000,4000,NA,0,0,0,0,0,3,1,1,3,1,1,none,1,1,Elec,Full_elec,neighbor,peer,peer,neighbor,NA,NA,12500,1,2,0,1,1,1,NA,NA,NA,0,0,0,NA,NA,NA,0.517727186463267,06085504506
BPOAR,3,0,60,Male,225000,graduate,Asian,4,0,1,SF,5,1,3250,Older,1,350,0,2,Gas,None,Gas,0,1,7,3,NA,Gas,0,4,1,3,1,0,0,2,0,2,4,4,0,NA,NA,NA,NA,0,0,0,0,0,3,3,2,1,1,0,potential,0,0,Gas,Full_fossil,neighbor,none,peer,neighbor,550,250,10000,1,4,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,1.19519457385417,06075030600
UXCJH,12,0,70,Male,137500,graduate,Hispanic,2,1,0,SF,3,1,2250,Newer,0,450,0,2,Gas,Central,Gas,0,1,5,5,NA,Elec,1,4,3,3,1,1,0,3,0,2,4,4,0,5000,6000,NA,NA,1,0,0,0,0,3,2,1,1,1,1,none,0,0,Gas,No_prefer,neighbor,none,none,neighbor,75,37.5,5000,1,5,0,0,0,1,0,1,1,NA,NA,NA,NA,NA,NA,0.672193123287197,06001450502
PNQHA,3,0,80,Male,225000,some college,White,2,1,0,SF,2,1,1750,Older,0,NA,1,2,Gas,None,Gas,0,0,7,2,NA,Elec,1,3,2,3,2,0,0,2,0,2,3,4,0,NA,20000,8000,500,0,0,0,0,0,2,2,1,1,1,0,none,1,1,Gas,No_prefer,neighbor,none,none,peer,NA,NA,7500,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1.29320122473279,06081603802
EABUB,3,1,70,Male,112500,college,White,6,1,0,SF,2,1,1750,Older,0,250,0,2,Gas,None,Gas,1,1,7,4,NA,Gas,1,4,3,3,2,1,0,1,0,1,3,3,0,7500,0,NA,NA,0,0,0,0,0,4,4,1,2,1,1,none,0,0,Gas,Full_elec,neighbor,peer,none,neighbor,75,75,10000,1,3,1,1,1,1,0,0,1,NA,NA,NA,NA,NA,NA,0.17467257252533,06075031301
TVOVY,4,1,80,Male,162500,some college,Multirace,3,1,0,SF,5,1,2750,Older,0,150,1,4,Gas,Central,Gas,0,1,4,4,NA,Elec,1,4,4,3,2,0,0,1,0,1,4,4,0,NA,NA,NA,NA,1,1,0,0,0,2,1,1,1,1,0,potential,0,0,Gas,No_prefer,peer,none,none,neighbor,250,75,10000,1,7,0,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,0.433704248486843,06085503212
RDONV,4,0,50,Female,137500,some college,AIANNHPI,2,1,1,SF,2,1,1750,BrandNew,1,NA,0,2,Gas,Central,Gas,0,0,4,4,NA,Elec,0,5,1,3,2,0,0,2,0,1,4,4,0,NA,20000,20000,NA,0,0,0,0,0,1,1,1,1,1,0,none,0,0,Gas,No_prefer,peer,peer,neighbor,none,350,450,12500,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35746039767489,06085512023
WDGJR,3,0,50,Female,225000,some college,Asian,2,1,1,SF,2,1,1750,BrandNew,0,350,1,3,Other,None,Gas,0,0,7,2,NA,Elec,1,4,2,3,2,0,0,2,0,1,4,4,0,35000,20000,NA,NA,0,0,0,0,0,3,3,1,1,1,0,potential,1,1,Other,Half_elec,neighbor,neighbor,neighbor,neighbor,NA,NA,20000,1,6,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,3.30089262524954,06081608600
TXPOP,3,0,80,Male,225000,graduate,White,6,1,0,SF,3,1,2750,Older,0,350,0,3,Gas,Central,Gas,0,1,4,3,NA,Gas,1,5,3,3,3,0,0,2,0,2,3,2,0,3000,6000,NA,NA,1,0,0,0,0,4,2,1,1,1,0,potential,1,1,Gas,Half_elec,peer,none,none,neighbor,250,250,12500,1,2,0,0,0,1,0,1,1,NA,NA,NA,NA,NA,NA,0.605375575720562,06081612800
DQPRC,8,0,70,Female,112500,graduate,White,1,1,0,SF,2,1,1750,Older,0,450,0,2,Gas,Central,Gas,0,0,5,5,NA,Gas,0,5,1,2,1,0,0,2,0,2,4,4,0,NA,20000,20000,NA,1,0,0,0,0,1,1,1,1,2,1,none,0,0,Gas,Full_fossil,peer,none,none,neighbor,112.5,75,7500,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0.17467257252533,06059021814
HUVIO,3,1,60,Male,137500,college,Non-hispanic other,6,0,1,SF,2,1,1750,Older,0,250,0,2,None,None,Gas,1,1,7,1,NA,Gas,1,4,4,5,3,1,0,2,0,2,2,2,0,NA,15000,15000,NA,0,0,0,0,0,4,4,1,3,1,0,potential,0,0,None,Full_elec,peer,none,peer,peer,150,75,27500,1,1,0,0,0,1,NA,NA,NA,0,0,0,NA,NA,NA,0.17467257252533,06013368001
GNFED,4,0,70,Male,225000,some college,White,4,1,0,SF,2,1,2250,Older,0,450,1,2,Gas,None,Gas,0,0,7,3,NA,Gas,0,4,2,3,2,0,0,3,0,4,3,3,0,5000,20000,NA,1200,0,0,0,0,0,2,3,2,1,1,1,potential,0,0,Gas,Full_fossil,neighbor,none,none,neighbor,150,150,20000,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12320953576642,06085507705
MVWWA,3,1,40,Female,225000,graduate,White,6,1,1,MF,2,0,1250,Older,1,NA,0,1,Elec,Room,Gas,NA,NA,7,3,1,Gas,NA,4,2,2,2,0,0,2,0,1,3,3,0,NA,0,NA,NA,0,0,0,0,0,4,3,1,1,3,0,none,1,1,Elec,Half_elec,neighbor,peer,peer,neighbor,150,150,3750,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.08848235703118,06075022802
BBJEH,4,0,60,Female,162500,graduate,White,7,1,0,SF,4,1,1750,Older,1,350,0,2,Gas,Central,Gas,1,0,6,3,NA,Gas,1,4,5,3,3,1,0,2,0,2,4,4,0,25000,6000,NA,200,1,0,0,0,0,4,1,1,2,1,0,own,1,1,Gas,Full_elec,peer,none,none,neighbor,250,NA,17500,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0.6047567005002,06085502908
VRNCO,12,0,60,Female,162500,some college,White,3,1,0,SF,2,1,2750,BrandNew,0,NA,0,2,Other,Central,Other,0,0,7,1,NA,Elec,1,1,1,3,3,0,0,3,0,2,3,3,0,30000,15000,NA,NA,1,0,0,0,1,3,3,1,1,1,1,none,0,0,Other,No_prefer,neighbor,none,neighbor,neighbor,NA,NA,20000,1,7,0,0,0,1,0,0,0,0,0,0,1,1,1,1.07329275708729,06017030809
GQOZL,12,0,50,Male,95000,some college,White,7,1,1,SF,5,0,3250,Older,0,150,0,2,Gas,Central,Gas,NA,NA,7,1,NA,Elec,NA,2,5,3,3,0,0,1,0,2,4,4,0,NA,15000,NA,NA,0,0,0,0,1,4,4,1,3,1,0,potential,1,1,Gas,Full_elec,peer,peer,peer,peer,187.5,75,10000,0,1,0,0,0,0,0,0,0,NA,NA,NA,1,1,1,3.30089262524954,06067000300
GKDYQ,12,0,40,Male,45000,college,White,1,1,1,SF,3,1,1250,Older,0,350,1,1,Gas,Central,Gas,0,0,3,3,NA,Gas,0,3,1,3,2,0,0,4,0,2,2,2,0,NA,20000,4000,NA,0,0,0,0,0,1,1,1,1,1,1,potential,0,0,Gas,Half_elec,none,peer,none,peer,187.5,150,16250,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63420686556735,06067003300
HSNPM,12,1,30,Female,137500,college,Hispanic,6,1,1,SF,2,1,750,Older,1,350,0,2,Gas,Room,Gas,1,1,7,4,2,Gas,0,4,3,3,3,1,1,2,0,2,3,3,1,5000,15000,NA,NA,0,0,0,0,0,4,3,1,1,1,0,potential,1,1,Gas,Half_elec,peer,peer,none,neighbor,250,250,22500,1,3,0,0,0,1,0,1,1,NA,NA,NA,0,0,0,0.48120673567954,06113010103
ARJGJ,8,0,50,Male,225000,graduate,Hispanic,4,1,1,SF,3,1,2250,Older,0,350,1,2,Gas,Central,Gas,0,1,5,3,NA,Gas,0,5,4,3,3,1,0,1,0,3,3,3,0,NA,6000,4000,NA,1,0,0,0,0,3,2,1,3,2,0,none,1,1,Gas,Half_elec,peer,peer,none,peer,NA,NA,12500,1,6,0,0,0,1,NA,NA,NA,0,1,1,0,0,0,0.612874612454155,06059001506
MOTTU,4,1,40,Female,15000,HS,Hispanic,5,1,1,SF,4,1,2250,BrandNew,0,250,1,2,Not know,None,Elec,0,0,1,1,NA,Not know,0,2,2,2,1,0,0,3,0,2,2,3,0,35000,2000,NA,NA,0,0,0,0,0,4,1,3,2,1,1,none,0,0,Not know,Half_elec,none,none,none,none,NA,NA,5000,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.835492963817907,06053011203
EFKBD,12,0,40,Male,137500,college,Multirace,4,1,1,SF,2,0,1750,Older,1,450,1,1,Gas,Central,Gas,NA,NA,5,3,NA,Gas,NA,5,1,2,1,1,0,4,0,3,3,3,1,NA,15000,NA,NA,0,0,0,0,0,2,1,1,2,1,0,none,1,1,Gas,Full_fossil,neighbor,neighbor,neighbor,neighbor,500,250,13750,1,6,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0.814068110464249,06013345203
XUFSH,12,0,80,Male,187500,college,White,2,1,0,SF,2,1,2750,Older,0,150,1,2,Elec,Central,Gas,1,1,7,3,NA,Gas,1,5,3,3,2,1,0,2,0,2,3,3,0,35000,20000,NA,NA,0,0,0,1,0,2,2,1,2,1,1,potential,1,0,Gas,Full_elec,peer,neighbor,peer,peer,387.5,350,10000,1,7,0,0,0,0,0,0,0,1,1,1,NA,NA,NA,0.517070652616394,06067001400
ISUOG,8,1,60,Male,112500,college,Asian,2,1,0,SF,2,1,2250,Older,0,150,1,1,Gas,Central,Gas,1,1,5,7,NA,Gas,1,5,5,5,1,1,0,1,0,3,3,3,0,10000,10000,NA,NA,0,0,0,0,0,2,3,1,2,1,0,none,0,0,Gas,Full_elec,none,none,none,none,NA,NA,3750,0,6,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,0.92201915355845,06059087001
XEKTQ,12,1,60,Male,85000,some college,Black,4,1,0,SF,1,1,750,Older,0,NA,0,2,Gas,Central,Gas,0,0,4,4,NA,Gas,0,5,3,3,2,0,0,1,0,2,4,4,0,30000,15000,NA,1000,0,0,0,0,0,3,3,1,1,1,0,potential,1,1,Gas,Half_elec,none,none,none,none,300,150,2500,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.977542426336375,06067006600
ZEPXH,13,1,30,Female,65000,some college,Hispanic,5,1,1,SF,5,1,1750,BrandNew,0,350,0,3,Gas,Central,Gas,1,0,5,1,NA,Gas,0,3,2,3,2,0,0,1,0,2,3,3,0,NA,10000,6000,NA,1,0,0,0,0,3,3,2,2,1,0,none,1,1,Gas,Half_elec,none,none,none,peer,150,350,15000,1,1,0,0,0,1,NA,NA,NA,0,0,0,0,0,0,0.91311907011332,06039000514
JIBGA,11,0,30,Female,95000,graduate,White,6,1,1,MF,1,0,750,BrandNew,0,250,0,1,Gas,Central,Gas,NA,NA,5,3,NA,Gas,NA,3,4,5,3,0,0,3,0,3,3,3,0,NA,10000,NA,NA,0,0,0,0,0,4,4,3,3,2,0,none,1,1,Gas,Full_elec,peer,peer,peer,peer,300,150,13750,1,1,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,2.85185255678518,06061021128
SUALX,12,0,40,Male,112500,some college,White,3,0,1,SF,6,0,1250,Older,1,350,0,2,Gas,Central,Gas,NA,NA,5,7,NA,Elec,NA,3,1,3,3,0,0,2,0,2,3,3,0,NA,8000,NA,NA,0,0,0,0,0,1,1,1,1,1,1,none,0,0,Gas,No_prefer,peer,none,peer,peer,NA,NA,15000,1,7,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,2.32077620269157,06067009112
IWDUJ,12,0,50,Female,95000,graduate,White,5,1,0,SF,3,1,1250,Older,0,150,1,2,Gas,Central,Gas,0,0,5,4,NA,Gas,0,3,2,3,2,1,0,2,0,2,3,3,0,20000,10000,NA,NA,0,0,0,0,0,4,2,1,1,2,0,potential,0,0,Gas,Half_elec,peer,none,none,peer,400,150,27500,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571438892666764,06067008145
VUGXR,3,0,70,Male,NA,graduate,White,NA,1,0,SF,2,1,1750,Older,0,250,0,2,Gas,None,Gas,0,1,1,3,NA,Gas,1,3,1,3,2,1,0,3,0,2,3,3,0,35000,6000,NA,NA,0,0,0,0,0,4,2,1,1,1,NA,potential,0,0,Gas,No_prefer,neighbor,peer,neighbor,neighbor,550,250,17500,1,NA,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,0.536727160756426,06041121100
JRMHO,12,0,40,Male,187500,graduate,Hispanic,4,1,1,SF,3,1,1750,Newer,0,150,1,2,Gas,Central,Gas,1,1,6,5,NA,Gas,1,4,4,4,3,1,0,3,0,1,3,3,0,NA,10000,10000,NA,1,0,0,0,0,3,3,1,2,2,0,none,1,1,Gas,Half_elec,neighbor,peer,peer,neighbor,150,75,20000,1,2,0,0,1,1,NA,NA,NA,0,0,0,NA,NA,NA,0.958060499020758,06113011208
DFZHW,13,1,40,Male,112500,some college,Hispanic,2,1,1,SF,3,0,2250,Older,0,450,1,2,Not know,Central,Gas,NA,NA,6,4,NA,Gas,NA,4,1,3,2,0,1,3,0,1,4,4,0,NA,20000,NA,NA,0,0,0,0,0,2,1,1,1,1,1,none,0,0,Not know,Full_fossil,none,peer,none,peer,325,350,20000,1,7,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.54308044759702,06107000600
UCHGD,13,0,80,Male,162500,some college,White,1,0,0,SF,1,1,6000,BrandNew,0,250,1,1,Gas,Central,Gas,1,0,3,5,NA,Gas,0,5,5,3,2,0,0,1,0,2,4,4,0,0,0,NA,NA,1,0,0,0,0,1,1,1,1,1,1,none,1,1,Gas,Half_elec,neighbor,none,none,neighbor,250,37.5,13750,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0.746495986852049,06039000204
WICGA,3,0,70,Female,112500,graduate,Multirace,6,1,0,SF,1,1,2250,Older,0,350,1,1,Gas,None,Elec,1,0,7,2,NA,Gas,0,3,3,3,2,0,0,2,0,2,3,3,0,NA,0,4000,NA,0,0,0,0,0,4,4,1,1,2,0,potential,0,0,Gas,Full_elec,neighbor,peer,neighbor,peer,550,150,8750,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.39369611406923,06001404502
SNWJZ,3,0,70,Female,225000,graduate,Hispanic,6,1,0,SF,2,1,3250,Older,0,350,0,2,Gas,None,Gas,0,0,1,3,NA,Gas,0,5,3,3,2,1,0,1,0,2,3,3,0,NA,20000,20000,1200,0,0,0,0,0,4,1,1,1,1,0,potential,1,0,Gas,Half_elec,neighbor,none,none,none,350,75,12500,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.688744056723114,06081608800
VFPXO,11,1,30,Male,15000,less than HS,Non-hispanic other,7,0,0,SF,4,1,1750,BrandNew,0,NA,0,1,Gas,Central,Gas,1,0,4,4,NA,Elec,0,1,1,1,3,0,0,4,0,1,1,NA,0,NA,20000,20000,NA,1,0,0,0,0,4,1,3,4,1,0,none,0,0,Gas,No_prefer,none,none,none,none,NA,NA,6250,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0.608192644046636,06103001000
DULET,13,0,60,Female,85000,some college,White,4,1,0,SF,3,1,2250,BrandNew,0,NA,1,2,Gas,Central,Gas,0,0,7,3,NA,Elec,0,3,1,3,2,0,1,3,0,2,3,3,0,30000,20000,NA,NA,1,1,0,0,0,3,1,1,1,1,1,none,0,0,Gas,Full_fossil,peer,none,none,neighbor,250,550,20000,1,4,0,0,0,1,1,1,1,0,0,0,0,0,0,0.745689664423393,06019005802
SGJFZ,13,1,40,Male,55000,college,Asian,3,1,1,SF,5,1,1750,Older,0,450,0,4,Gas,Central,Gas,1,1,7,5,NA,Gas,1,2,1,5,3,1,1,4,0,2,3,2,0,NA,15000,15000,1000,0,0,0,0,0,4,4,3,4,1,1,none,0,0,Gas,Full_elec,peer,none,none,peer,450,450,20000,1,6,0,0,0,1,NA,NA,NA,0,0,0,0,0,0,0.504275185481241,06019005204
EGWPH,3,0,40,Female,225000,graduate,Asian,4,0,1,SF,2,0,1750,BrandNew,0,350,0,1,Gas,Room,Gas,NA,NA,7,1,1,Gas,NA,4,3,3,2,0,0,2,0,4,3,3,1,NA,2000,NA,NA,0,0,0,0,0,3,2,1,2,1,0,none,1,1,Gas,Half_elec,peer,peer,peer,peer,250,250,8750,1,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.86154620366382,06001401100
ONLWX,3,0,60,Female,137500,college,White,1,1,0,SF,5,1,2250,BrandNew,0,450,1,2,Gas,None,Gas,0,1,5,2,NA,Elec,1,3,2,3,2,0,0,2,0,4,3,3,0,NA,20000,20000,400,0,0,0,0,0,2,1,1,1,1,1,potential,1,0,Gas,Half_elec,peer,peer,none,neighbor,250,350,17500,1,5,0,0,0,1,NA,NA,NA,0,0,0,0,0,1,0.6047567005002,06053000104
SWJTT,12,1,70,Female,137500,graduate,White,6,1,0,SF,2,1,2750,Older,0,250,0,2,Gas,Central,Gas,1,1,7,7,NA,Elec,1,4,3,4,3,0,0,2,0,2,4,3,0,25000,10000,NA,NA,0,0,0,0,1,4,2,1,1,2,0,potential,1,1,Gas,Full_elec,peer,peer,peer,neighbor,700,250,10000,1,1,0,0,1,0,0,0,0,NA,NA,NA,1,1,1,0.17467257252533,06067003400
ZZAUQ,12,0,70,Male,65000,HS,White,2,1,1,SF,1,1,2250,BrandNew,0,150,0,2,Elec,Central,Gas,0,0,7,5,NA,Gas,1,2,2,3,3,0,0,2,0,2,4,4,0,35000,20000,NA,NA,0,0,0,1,0,1,1,1,2,1,0,potential,0,0,Other,Full_fossil,peer,peer,peer,peer,550,450,10000,1,5,0,0,0,0,0,0,0,1,1,1,NA,NA,NA,0.936761123255771,06013302012
FRTXA,2,0,30,Female,65000,some college,White,5,1,1,Others,1,0,250,Older,1,250,0,1,Elec,None,Elec,NA,NA,7,4,NA,Gas,NA,3,2,3,2,1,0,3,0,1,3,3,0,NA,6000,NA,NA,0,0,0,0,0,4,2,1,2,1,0,none,0,0,Elec,Half_elec,neighbor,none,peer,peer,NA,NA,3750,0,1,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,3.30089262524954,06041106001
HFGMN,12,0,60,Male,137500,some college,White,2,1,0,SF,2,1,2250,Older,0,350,1,3,Gas,Central,Gas,0,1,2,3,NA,Elec,1,4,1,3,3,1,0,1,1,1,4,4,0,10000,8000,NA,NA,1,1,0,0,1,1,1,1,1,1,0,none,1,1,Gas,Full_elec,none,neighbor,none,peer,NA,NA,12500,1,7,0,1,1,1,1,1,1,NA,NA,NA,1,1,1,1.25695080732798,06013345102
OZWHP,3,1,70,Male,75000,college,Asian,6,1,0,SF,4,1,1250,Older,0,150,0,3,Gas,None,Gas,0,1,7,4,NA,Gas,1,3,2,4,2,0,0,1,0,1,4,NA,1,1000,0,NA,NA,0,0,0,0,0,4,3,1,2,1,0,none,0,0,Gas,Full_elec,neighbor,peer,none,neighbor,NA,NA,15000,1,1,1,1,1,1,0,1,1,NA,NA,NA,NA,NA,NA,0.390301249144174,06001432400
JGTWJ,3,1,40,Male,162500,graduate,White,6,0,1,SF,2,1,750,Older,0,150,0,1,None,None,Gas,1,0,7,1,NA,Gas,1,4,2,4,3,1,0,2,0,1,3,3,0,25000,20000,NA,NA,0,0,0,0,0,3,1,1,2,1,0,none,1,1,None,Full_elec,neighbor,peer,none,neighbor,250,250,8750,1,4,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,0.342746988862458,06075026402
