ExternalReference,climatezone,dac,age,gender,income,education,race,ideology,born_us,employment,home_type,household_numpeople,home_own,home_area,home_age,charging_work,rangeanxiety,vehicle_next_used,vehicle_num,primary_heating_type,primary_cooling_type,hotwater_energy,hotwater_nextelec,heatpump_direct,therm_summer,therm_winter,ac_unit_number,kitchen_range_type,induction_direct,heating_cost_burden,elec_savemoney,elec_health,elec_safety,upfrontpayback,lowincome_sup,outage_impact,outage_generatorown,outage_generatorplan,elec_avail,hvac_avail,ccinsure_lost,solstor_wtp_dv,ev_wtp_pc,heatpump_wtp_pc,induction_dv,PV,PS,EV,HP,IC,yale_worried,cclive,ccpastmove,ccfuturemove,homevac,ccmove_where,charging_access,charging_5mile_r,charging_5mile_f,previous_heating_type,electrification,peer_EV,peer_IC,peer_HP,peer_PV,cost_combo_winter_final,cost_combo_summer_final,vehicle_comb_miles,ccinsure_both,pid_composite,future_EV_0,future_EV_low,future_EV_high,future_PV,future_PS_0,future_PS_low,future_PS_high,future_HP_0,future_HP_low,future_HP_high,future_IC_0,future_IC_low,future_IC_high,wt_ca,tractid
GJMKE,9,0,50,Male,65000,some college,Non-hispanic other,2,1,1,SF,5,0,1250,BrandNew,0,450,0,2,Gas,Central,Gas,NA,NA,7,4,NA,Gas,NA,1,1,3,2,0,0,3,0,2,2,3,0,NA,20000,NA,NA,0,0,0,0,0,1,1,1,1,1,1,none,0,0,Gas,Full_fossil,neighbor,none,none,neighbor,112.5,250,50000,1,5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.35193540634026,06037920118
EXBSD,14,1,40,Female,15000,some college,Black,4,1,0,SF,8,0,4250,BrandNew,0,NA,NA,3,Gas,Central,Gas,NA,NA,6,6,NA,Gas,NA,5,1,2,2,1,1,2,1,2,2,3,0,NA,20000,NA,NA,0,0,0,0,0,2,1,1,NA,2,0,none,0,0,Gas,No_prefer,neighbor,none,peer,peer,NA,NA,10000,1,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.38922948550376,06037910706
FXARE,9,0,80,Male,162500,graduate,White,7,1,0,SF,2,1,2250,BrandNew,0,250,0,2,Gas,Central,Gas,0,1,5,4,NA,Gas,1,3,3,4,3,0,0,4,0,4,3,4,0,NA,6000,0,800,0,0,1,0,0,4,3,1,3,1,1,own,1,0,Gas,Half_elec,peer,none,none,neighbor,300,250,17500,1,1,1,1,1,0,NA,NA,NA,1,1,1,0,0,1,0.401765887973714,06111007903
ZVZUJ,9,1,30,Female,65000,college,Hispanic,5,1,1,SF,3,1,6000,Older,1,350,0,3,None,None,Not know,0,1,7,1,NA,Gas,1,2,1,3,3,1,1,4,0,2,4,4,0,NA,15000,15000,1000,0,0,0,0,0,4,4,3,4,3,1,potential,1,0,None,Half_elec,peer,peer,peer,peer,800,650,28750,1,1,0,0,0,1,NA,NA,NA,0,0,0,0,0,0,2.2244826006546,06037218300
VOVLL,6,0,80,Female,112500,some college,White,5,1,0,SF,2,1,2250,Older,0,250,0,2,Gas,None,Gas,0,1,1,4,NA,Gas,0,5,1,3,1,0,0,1,0,2,4,4,0,30000,20000,NA,NA,0,0,0,0,0,3,3,1,1,1,0,none,1,0,Gas,Full_fossil,none,none,none,none,NA,NA,17500,1,1,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0.882884188813885,06037297400
ZVRJW,15,1,40,Male,15000,some college,Hispanic,4,1,1,SF,6,0,1750,Older,0,150,0,2,Gas,Central,Elec,NA,NA,7,1,NA,Gas,NA,4,2,3,2,1,0,1,0,2,3,3,0,NA,15000,NA,NA,1,1,0,0,0,3,2,1,3,1,0,potential,0,0,Gas,No_prefer,none,none,none,neighbor,300,150,5000,1,4,0,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,2.47587159584945,06065044509
AXFBY,8,1,40,Female,25000,less than HS,Hispanic,3,0,0,SF,6,0,1250,Older,0,150,0,NA,Elec,Room,Elec,NA,NA,7,1,1,Elec,NA,2,1,5,2,0,1,2,0,1,2,2,0,NA,NA,NA,NA,0,0,0,0,1,4,3,2,2,1,0,none,0,0,Elec,Full_elec,none,none,none,none,NA,NA,NA,0,4,NA,NA,NA,0,0,0,0,NA,NA,NA,1,1,1,2.89785183187906,06037540501
FMOOS,8,0,60,Female,45000,college,White,5,1,0,SF,2,1,1250,Older,0,350,1,2,Gas,None,Gas,0,0,7,1,NA,Gas,0,5,1,3,2,1,0,2,0,2,3,3,0,NA,8000,20000,NA,0,0,0,0,0,3,2,1,1,1,1,none,0,0,Gas,Full_fossil,none,none,none,none,112.5,37.5,12500,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348186708308526,06037574100
KUOPO,9,1,40,Male,95000,some college,Non-hispanic other,7,0,0,SF,3,0,1250,Older,0,150,0,2,Gas,None,Gas,NA,NA,1,3,NA,Gas,NA,4,3,3,1,0,0,4,0,2,1,NA,0,NA,10000,NA,NA,0,0,0,0,0,4,1,3,4,1,0,none,0,0,Gas,Half_elec,none,none,none,none,300,150,22500,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.52129673756533,06111000500
BYPQV,6,0,80,Male,137500,some college,White,4,1,0,SF,1,1,1250,Older,0,450,1,1,Gas,Room,Gas,0,0,5,4,4,Gas,1,5,1,3,3,0,0,2,0,1,2,3,0,15000,15000,NA,NA,0,0,0,0,0,4,3,1,3,1,0,potential,1,1,Gas,No_prefer,peer,none,peer,neighbor,300,350,3750,1,3,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1.02909463816338,06037296402
LXDXA,9,0,60,Female,187500,some college,White,5,1,0,SF,3,1,1250,Older,0,150,0,2,Gas,Central,Gas,1,0,7,3,NA,Gas,1,4,4,3,3,0,0,2,0,2,4,4,0,NA,2000,0,NA,1,0,1,0,0,4,3,1,3,1,0,own,0,1,Gas,Full_elec,neighbor,peer,neighbor,neighbor,150,75,10000,1,1,1,1,1,1,NA,NA,NA,0,0,0,NA,NA,NA,0.788146824616922,06037192410
YXXMZ,8,1,60,Female,15000,some college,Hispanic,6,0,0,SF,3,1,750,Older,0,NA,0,1,Elec,Other,Gas,0,0,1,7,NA,Gas,0,1,3,2,2,0,1,3,0,2,2,2,0,NA,20000,20000,NA,0,0,0,0,0,1,1,1,1,1,0,none,0,0,Elec,No_prefer,none,none,none,none,187.5,150,3750,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55258824826044,06037553902
