building_id,income,annual_kwh,pre_fixed_bill,post_fixed_bill,pre_fixed_tou_bill,post_fixed_tou_bill,new_F0_WF0_ROE0_bill,new_F0_WF0_ROE0.5_bill,new_F0_WF0_ROE1.5_bill,new_F0_WF1_ROE0_bill,new_F0_WF1_ROE0.5_bill,new_F0_WF1_ROE1.5_bill,new_F25_WF0_ROE0_bill,new_F25_WF0_ROE0.5_bill,new_F25_WF0_ROE1.5_bill,new_F25_WF1_ROE0_bill,new_F25_WF1_ROE0.5_bill,new_F25_WF1_ROE1.5_bill,new_F50_WF0_ROE0_bill,new_F50_WF0_ROE0.5_bill,new_F50_WF0_ROE1.5_bill,new_F50_WF1_ROE0_bill,new_F50_WF1_ROE0.5_bill,new_F50_WF1_ROE1.5_bill,new_F75_WF0_ROE0_bill,new_F75_WF0_ROE0.5_bill,new_F75_WF0_ROE1.5_bill,new_F75_WF1_ROE0_bill,new_F75_WF1_ROE0.5_bill,new_F75_WF1_ROE1.5_bill
372090,medium,8249.338248738424,3940.5464791163786,3761.2328162095505,4393.373746315073,4157.099529388924,2670.392553002044,2627.26046502685,2541.5382346085853,2409.09898411991,2366.32954271176,2280.4377914374254,2492.306423175452,2449.5708925414788,2363.8744803298923,2231.205980004289,2188.3590888248386,2102.6626766132595,2314.360101953698,2271.4847627148706,2185.9040264429937,2053.5465411198215,2010.5538403997634,1924.9731041278756,2136.554853528618,2093.8253238304146,2007.8178966164028,1875.4604112932418,1832.609204719561,1746.886974301292
283615,medium,12159.875213780826,6034.134805780043,5602.728589034305,6544.831064589105,6056.504035325545,3995.0125443176053,3930.5316191407474,3802.2055761937627,3604.221018905075,3540.1447797179617,3411.6928003341914,3628.4764029826656,3564.6425828617002,3436.4189273294896,3237.963627123104,3173.7963410255475,3045.5726854933364,3262.26519837624,3198.1064415267615,3070.0704886371072,2872.031214924782,2807.7196021039595,2679.683649214305,2896.1884594546527,2832.1740293284483,2703.5343473021485,2505.4950735898574,2441.4735508263525,2313.1475078793583
13017,high,2468.364732100267,1049.4499494997494,1218.2503188635367,1323.402181218128,1459.648172340323,814.8866845916997,801.7342030285503,775.5404802110589,735.1582471479599,722.1190785105762,695.9147736768815,900.7434708751055,887.7520154744052,861.5879899656125,821.1177643409605,808.0139655674479,781.8499400586845,986.6987258017898,973.6088017578028,947.4828770225491,907.0910314962364,893.9936772398044,867.8677525045041,1072.6784374741794,1059.5820689130846,1033.3396633059567,992.9478177796436,979.9182616054458,953.7245387879261
229938,low,8514.453440593297,4082.4995042268647,3664.265713903073,4617.603982639105,4141.919561236976,2806.7046907285667,2761.3888342924515,2671.2672580778676,2532.172268439341,2487.11302033717,2396.876753851795,2488.1535356601676,2443.280499182967,2353.1924919708126,2213.7630314341154,2168.6989506095024,2078.6109433973747,2169.7868395045207,2124.72934411455,2034.7784222431503,1895.634306320416,1850.4535301593082,1760.5026082879094,1851.5414190543274,1806.6006190008666,1716.2272671747635,1577.083151252031,1532.0730294340938,1441.9514532195055
383758,high,5361.568860659001,2456.5887792057897,2455.9586130976377,2814.2846589587307,2763.927676303423,1723.165120760721,1695.296170303501,1639.9902248938702,1554.463659389818,1526.974698182582,1471.5072652909944,1679.8133954044927,1652.2383697277164,1596.9389703976985,1511.3304358016221,1483.6685274373194,1428.3691281073677,1636.530681416887,1608.8866443714533,1553.63279965245,1468.2378532289758,1440.5651722505272,1385.3113275315277,1593.4273262300571,1565.7940617988086,1510.2810742962274,1424.886127872729,1397.2655475849697,1341.959602175293
35315,low,8594.93844164237,4125.494019417646,3702.0831895804404,4684.368205637049,4203.360155765875,2854.377947440442,2808.3133636516523,2716.6319122181662,2575.235391895276,2529.3641450984655,2437.6094834178825,2529.0454019398844,2483.4354648529716,2391.820602792662,2250.022973139586,2204.1708990747793,2112.5560370144676,2203.9322967211006,2158.1029193524355,2066.627356769006,1925.1088262130684,1879.1537007992363,1787.678138215823,1878.9150984455594,1833.188772425899,1741.2948112684605,1599.7762807125155,1554.0270441487273,1462.3455927152581
367400,high,2711.6180968425674,1152.871550053586,1309.219779676215,1443.383354689106,1563.7917897731145,881.7131997025776,867.4607289782637,839.1488783006834,795.4218218904733,781.3184564179977,752.9608704522661,958.0729145344394,943.9831057357899,915.6779380960729,871.8849066859862,857.7105237312799,829.4053560915788,1034.4802882904867,1020.3428205676178,992.0700054093511,948.3617448067596,934.2005480073217,905.9277328490837,1110.9703125665276,1096.8196586883762,1068.4297202412108,1024.7214596386061,1010.5992983585172,982.2874476809191
511701,medium,9697.405031866663,4673.554667185457,4405.979860221091,5253.420091024017,4923.30141184942,3207.2688364069836,3155.495997034218,3052.48843605601,2893.54895469988,2842.098921636494,2738.9583022137053,2952.797491072876,2901.542694963157,2798.6038848050057,2639.267357230581,2587.7746368501453,2484.8358266920654,2698.586190226754,2647.0713496289695,2544.279600018672,2385.291942256741,2333.6742742312995,2230.8825246209567,2444.4858276079012,2393.095934655122,2289.8082546845594,2130.8205969226033,2079.418740265064,1976.4111792868325
288993,low,3209.0919834971023,1368.5869371532815,1277.135136660963,1694.4678474050688,1561.0366999244163,1034.9339588903683,1018.205128176427,984.9817799842277,933.6350929726627,917.0976480926228,883.7969108109208,968.4194881266085,951.8624456707868,918.6489132373989,867.2346189533171,850.6166595513623,817.4031271179865,901.9533636972828,885.3479749070193,852.1679246961432,800.8743174828869,784.2404948232274,751.0604446123486,835.5771989691328,818.9876734365831,785.6534539323842,734.3598467191293,717.7693220407948,684.5459738485844
88113,medium,5611.648985408058,2528.389184919857,2519.115799451894,2986.8731082292675,2920.552546788126,1820.265064340166,1790.866458278182,1732.4241047034575,1642.1505095837604,1613.011609264755,1554.4585177210597,1763.108977599181,1733.9914809766606,1675.5750426567224,1585.1433906167906,1555.932760443586,1497.5163221236378,1706.0671176371757,1676.8353942356807,1618.49619383558,1528.2784329392239,1498.9805452222372,1440.641344822157,1649.1149024158346,1619.9704365581147,1561.3401070945897,1471.1223461982427,1441.9276116558647,1383.4852580811605
