building_id,income,annual_kwh,scaling_factor,pre_fixed_tou_bill,post_fixed_tou_bill,new_F0_WF0_ROE0_bill,new_F0_WF0_ROE0.5_bill,new_F0_WF1_ROE0_bill,new_F0_WF1_ROE0.5_bill,new_F25_WF0_ROE0_bill,new_F50_WF0_ROE0_bill,new_F50_WF1_ROE1.5_bill
372090,medium,11568.855,0.7130643653791515,6161.25830938,5711.1376818399995,3718.3825052999928,3658.6903845000106,3354.767287299989,3294.999654500006,3391.657967199978,3064.701894599993,2522.130869499999
283615,medium,17052.984,0.7130643653791515,9178.45762929,8374.85865593,5562.908713999999,5473.516040000013,5018.84160979996,4929.5355566000335,4974.107264099977,4384.684687699987,3572.981872899998
13017,high,2935.9079999999994,0.8407500276235722,1574.0733128000002,1680.2195033600003,962.3615900000306,946.8854751999793,868.2534139999603,852.8100304000088,1027.4108608000104,1092.2698884000563,951.8832191999927
229938,low,11940.652000000002,0.7130643653791515,6475.718331800001,5779.11218322,3908.259191399995,3845.470819200019,3526.003484199994,3463.2465187999883,3433.4854799000086,2958.434258900011,2388.1035266999766
383758,high,6377.126,0.8407500276235722,3347.3500642199997,3231.5480327800005,2034.9689693999953,2002.342804700028,1836.0404498000037,1803.2763929000162,1947.5075711999987,1859.9163900999893,1563.0535672999981
35315,low,12053.524000000001,0.7130643653791515,6569.348340869999,5865.27634667,3974.6703392000013,3910.790722600002,3585.8832333999862,3522.0963002000126,3490.486279900006,3005.9476869000096,2425.9221573000104
367400,high,3225.237,0.8407500276235722,1716.7806211900001,1804.0893981099998,1041.2701141000075,1024.5556372000099,939.4563214999993,922.7259269000054,1095.0779672000144,1148.770839399996,996.854384599993
511701,medium,11534.231000000002,0.8407500276235722,6248.492320450001,5799.937761710001,3787.770937000006,3726.9134061000036,3417.3188595000215,3356.4779829,3451.2092912999997,3114.323529300001,2561.6248139999907
288993,low,4500.424,0.7130643653791515,2376.3182254999997,2159.6873646200006,1441.0702533999925,1417.952141600016,1300.177416000003,1276.9977292999945,1316.961502800001,1192.7406927000104,982.4997457999978
88113,medium,7869.765,0.7130643653791515,4188.78470619,3977.00673569,2534.621561899989,2493.9270135999786,2286.7722403000184,2246.030711600006,2376.1636674,2217.5074976999836,1847.6877422000016
265853,high,10377.576,0.7130643653791515,5557.75583108,5184.003870140001,3372.335364999981,3318.189062600021,3042.561230999984,2988.3863960999997,3094.8471468999883,2816.9918427999924,2324.969398900009
133958,high,9886.903,0.7130643653791515,5293.93881706,4952.16013378,3210.77329020001,3159.1914804999933,2896.769929500006,2845.2103312000113,2956.2538172999616,2701.377108800011,2232.8992765999965
299061,low,8578.132,0.7130643653791515,4578.860100100001,4099.33021836,2771.8637032000015,2727.368642800002,2500.802703399988,2456.289449200018,2458.647127899982,2145.1253401000013,1740.698687100002
274959,medium,6987.312000000001,0.7130643653791515,3710.1900096199997,3555.11506396,2219.767163600023,2184.1715060999877,2002.6647599999928,1967.0214111999821,2106.068680599997,1992.2483088000072,1668.3122786999966
