building_id,puma,income,is_care,annual_kwh,scaling_factor,cec_cz,tou_d_4_9_bill,tou_d_4_9_f_bill,F0_WF0_ROE0_bill,F0_WF0_ROE1.0_bill,F0_WF1_ROE0_bill,F50_WF0_ROE0_bill,F50_WF1_ROE1.0_bill,F100_WF0_ROE0_bill
100005,G06005924,high,False,11860.042,0.8648656126453748,8,4980.101404000003,4712.4794299999985,4971.4497027,4924.661523299999,4732.1278471,4675.766853099999,4389.510159499999,4379.868921100001
100017,G06003760,low,True,1657.437,0.8536704995961909,6,387.60306432500096,407.0208755000005,376.19269249500013,371.9526464475001,354.4993166400001,420.53870367750017,394.6001482650001,464.8865781975
100062,G06003739,high,False,2296.2100000000005,0.995376512581759,9,784.3807999999981,966.25893,772.9096434000002,764.2006275000002,728.3481857,1085.7956570000001,1032.5187379,1398.6936093
100064,G06007111,medium,False,3148.42,0.8407500276235722,10,1068.522009999997,1210.34627,1057.0679049000003,1045.1491032000001,996.0876125000002,1318.6582148999996,1245.7509261999999,1580.2635315
100096,G06005926,high,False,10550.974,0.8648656126453748,8,4181.494478000003,3975.398700000006,4169.8516652,4130.008610399998,3966.0646732999994,3985.3491859000005,3741.7678490000008,3800.9310773000007
100118,G06005912,high,False,4350.091,0.8536704995961909,6,1502.1676370000005,1587.5133599999997,1490.4559071999997,1474.0868670999998,1406.7748118999998,1681.2006783999996,1581.2185173999997,1871.9970656
100153,G06003718,high,False,6118.507999999999,0.995376512581759,9,2191.2277660000045,2193.457890000001,2179.738979700001,2156.524844300001,2060.955803500001,2260.7365551000003,2118.7205403000007,2341.7581993000003
100162,G06003772,high,False,6364.802000000001,0.995376512581759,9,2285.674704000005,2276.3290099999986,2276.7704748000006,2252.5429760000006,2152.818390700001,2341.6407520000002,2193.4640954,2406.5385575
100163,G06007101,low,True,3515.251,1.0497359105206039,14,810.2621834750005,770.7408455000007,799.2605648475002,790.2373430475001,753.1626471525,767.4270422925,712.3670430149999,735.62102241
100178,G06006502,medium,False,5599.672,1.4172145412832236,15,2052.8322639999997,2079.447679999999,2041.9399470000005,2020.0174501000004,1929.7221937000004,2143.4196147,2009.2361055000001,2244.8824975000007
100205,G06007101,low,True,8226.082,1.0497359105206039,14,2114.7189189499995,1925.7464675000008,2104.364221065001,2082.877691197501,1994.4540322875007,1873.0942268475005,1741.6701621975005,1641.7871155275009
100216,G06007101,medium,False,2465.4900000000002,1.0497359105206039,14,829.0054800000025,1002.9274500000024,816.2264758000001,806.989206,768.9875334000001,1120.7492037,1064.2649298,1425.277968
