building_id,puma,income,is_care,annual_kwh,scaling_factor,cec_cz,tou_d_4_9_bill,tou_d_4_9_f_bill,F0_WF0_ROE0_bill,F0_WF0_ROE1.0_bill,F0_WF1_ROE0_bill,F50_WF0_ROE0_bill,F50_WF1_ROE1.0_bill,F100_WF0_ROE0_bill,assigned_pv,assigned_battery,assigned_ev,assigned_hp,ev_daily_miles,native_annual_kwh,grid_import_kwh_s1_ev,grid_export_kwh_s1_ev,export_value_s1_ev,self_consumption_kwh_s1_ev,F0_WF0_ROE0_bill_s1_ev,F0_WF0_ROE1.0_bill_s1_ev,F0_WF1_ROE0_bill_s1_ev,F50_WF0_ROE0_bill_s1_ev,F50_WF1_ROE1.0_bill_s1_ev,F100_WF0_ROE0_bill_s1_ev,tou_d_4_9_bill_s1_ev,tou_d_4_9_f_bill_s1_ev,annual_kwh_s1,pv_size_kw_s2,solar_gen_kwh_s2,self_sufficiency_s2,grid_import_kwh_s2_pv_stor,grid_export_kwh_s2_pv_stor,export_value_s2_pv_stor,self_consumption_kwh_s2_pv_stor,F0_WF0_ROE0_bill_s2_pv_stor,F0_WF0_ROE1.0_bill_s2_pv_stor,F0_WF1_ROE0_bill_s2_pv_stor,F50_WF0_ROE0_bill_s2_pv_stor,F50_WF1_ROE1.0_bill_s2_pv_stor,F100_WF0_ROE0_bill_s2_pv_stor,tou_d_4_9_bill_s2_pv_stor,tou_d_4_9_f_bill_s2_pv_stor,pv_size_kw_s3,solar_gen_kwh_s3,self_sufficiency_s3,annual_kwh_s3,grid_import_kwh_s3_pv_ev_stor,grid_export_kwh_s3_pv_ev_stor,export_value_s3_pv_ev_stor,self_consumption_kwh_s3_pv_ev_stor,F0_WF0_ROE0_bill_s3_pv_ev_stor,F0_WF0_ROE1.0_bill_s3_pv_ev_stor,F0_WF1_ROE0_bill_s3_pv_ev_stor,F50_WF0_ROE0_bill_s3_pv_ev_stor,F50_WF1_ROE1.0_bill_s3_pv_ev_stor,F100_WF0_ROE0_bill_s3_pv_ev_stor,tou_d_4_9_bill_s3_pv_ev_stor,tou_d_4_9_f_bill_s3_pv_ev_stor,is_fully_electrified
<<<<<<< Updated upstream
23682,G06005913,high,False,13926.392,0.8648656126453748,8,5759.321733999998,5394.581309999998,5759.023324299999,5692.2384797999985,4853.1708825,5208.977306899999,4462.853489199999,4659.2493952,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236848,G06006515,medium,False,8604.049,1.4172145412832236,15,3175.5275829999982,3060.937279999999,3179.7138278999996,3137.795960799999,2611.196004,3208.4498132999997,2586.4149909,3237.3543948000006,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236862,G06006523,medium,False,8058.768,0.8407500276235722,10,3014.661216000002,2925.699120000001,3015.274796699999,2976.6849803999985,2491.8288814999987,3121.260844999999,2515.787589099999,3227.4388053000002,0,0,1,0,35.08816350087627,8058.768,12327.827892606612,0.0,0.0,0.0,4741.787881760619,4684.524144845453,3964.9492850226866,4413.122813509863,3714.458904167887,4084.897613614514,4741.17430106062,4451.566390108108,12327.827892606612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
236901,G06003766,medium,False,984.773,0.8536704995961909,6,340.92759100000006,584.4432599999998,340.99061959999995,336.23568020000005,276.5002825,1234.2783199,797.6231654,2127.5851685000002,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236910,G06007107,medium,False,6857.772,0.8407500276235722,10,2604.3974540000017,2571.8821700000008,2605.1035387999987,2571.004088799999,2142.5295338999986,2815.5536999999986,2232.4593295999994,3026.1021818,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236958,G06003737,high,False,19400.988,0.995376512581759,9,8256.819905999999,7634.773470000003,8258.674358099997,8163.782028799999,6971.502082999999,7054.5869872,6168.1586667,5850.827807500002,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236963,G06005926,low,True,4167.007,0.8648656126453748,8,968.9181248249982,908.7198277500005,968.7279881925,955.4586076124999,788.7631540499999,908.9706310725,740.3725834574999,849.2883513675001,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236984,G06003737,medium,False,13130.482,0.995376512581759,9,5386.172633999998,5058.839980000003,5389.5584216,5325.707168999999,4523.399175899999,4907.6538921,4176.128846500001,4426.035754700001,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237008,G06003780,low,True,5199.486000000001,0.8536704995961909,6,1297.1150001000017,1204.16130675,1297.3435192575,1280.3350345650001,1066.6888349625006,1150.6546285275006,963.4030766700004,1004.0204593049999,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237021,G06006502,medium,False,8862.287,1.4172145412832236,15,3287.7777989999977,3161.0503100000005,3291.453392,3248.3940318,2707.4964803999997,3293.6769609000003,2665.9413873999997,3296.040768900001,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
