building_id,income,annual_kwh_prescaling,scaling_factor,new_F0_WF0_ROE0_bill,new_F0_WF0_ROE0.5_bill,new_F0_WF1_ROE0_bill,new_F25_WF0_ROE0_bill,new_F25_WF1_ROE0.5_bill
372090,medium,11568.855,0.7130643653791515,2651.4460613786823,2608.8817371422947,2392.1650067133137,2476.372784514306,2174.6430815522367
283615,medium,17052.984,0.7130643653791515,3966.711971810562,3902.9692414552087,3578.7571074305165,3604.7609881529875,3153.251096060131
13017,high,2935.9079999999994,0.8407500276235722,809.1055333763634,796.093989430758,729.9840818047604,895.9316533240417,803.836758580286
229938,low,11940.652000000002,0.7130643653791515,2786.8403600528754,2742.0682092768952,2514.267436785748,2471.4570153187497,2154.2490266163695
383758,high,6377.126,0.8407500276235722,1710.9002172361613,1683.4697683633794,1543.6510588873455,1669.5029880092034,1474.86893539858
35315,low,12053.524000000001,0.7130643653791515,2834.1957830129845,2788.6455047414433,2556.9655521481104,2512.1022545968567,2189.4610449373267
367400,high,3225.237,0.8407500276235722,875.4478771931748,861.3951802777872,789.8479282522625,952.82277489905,853.202481524188
511701,medium,11534.231000000002,0.8407500276235722,3184.56851991451,3133.4025491292373,2873.1109255231763,2933.740250720887,2571.2637460920323
288993,low,4500.424,0.7130643653791515,1027.5758457074446,1011.0911439880128,927.1101840203447,962.239188778181,845.3223075941529
88113,medium,7869.765,0.7130643653791515,1807.3483155125343,1778.330483254606,1630.6157962961797,1752.2599860812704,1546.5868725268338
265853,high,10377.576,0.7130643653791515,2404.692176889392,2366.082378130912,2169.541993310228,2264.7275652994217,1991.0555242629687
133958,high,9886.903,0.7130643653791515,2289.4880185527923,2252.706868153957,2065.583411428328,2165.9016006824118,1905.3179622477771
299061,low,8578.132,0.7130643653791515,1976.517232439812,1944.7893904331804,1783.2332926383863,1776.3345245026146,1551.3918691507156
274959,medium,6987.312000000001,0.7130643653791515,1582.8368638019165,1557.4548688764207,1428.028876156592,1559.6648757266405,1379.5192370599675
459797,high,6238.599,0.7130643653791515,1443.5045612798547,1420.3209914968343,1302.321747559484,1440.1378801913556,1275.8354785273398
215013,low,2882.1160000000004,0.7130643653791515,664.9675304650426,654.2864145497674,599.9415964315857,651.1725736683658,575.4985028039121
238974,medium,6272.145,0.7130643653791515,1436.3313024038634,1413.290802211645,1295.8959084186893,1433.971194810401,1270.53765508757
407485,medium,4541.619000000001,0.7130643653791515,1064.3909129415165,1047.29532883765,960.2886270554507,1114.905936984798,993.7503071452113
412962,low,4158.449,0.7130643653791515,957.8008297688499,942.4226322385878,864.1348210905838,902.3834065769031,793.3796731886894
165676,high,14094.067000000001,0.8407500276235722,3841.1196560907706,3779.421939871994,3465.4539297951715,3496.9826920061837,3059.797088468797
295415,low,7434.280000000001,0.7130643653791515,1703.7976723347815,1676.4512349971785,1537.1860453088182,1542.3469863101488,1348.4545710730513
76579,high,2761.069,0.8407500276235722,751.1968163110471,739.1340648250166,677.7340149764647,846.2258342145653,760.730791623926
99475,low,3473.781,0.7130643653791515,826.0214028373179,812.7480240658684,745.2163023457887,789.3489571398758,695.2976353610816
219467,medium,6919.760000000001,0.7130643653791515,1612.2502128262106,1586.341652596541,1454.5574628228892,1584.908902395107,1401.384912155672
238003,high,18508.488999999998,0.7130643653791515,4311.298306625221,4242.038171789423,3889.6326455346,3900.334399930745,3409.6068815340177
42919,medium,4222.99,0.7130643653791515,981.4725521499935,965.7099578782224,885.4808980914092,1043.7712531943955,932.0591287848927
395072,medium,5737.971999999999,0.7130643653791515,1319.5840287845117,1298.3934541508397,1190.5478945226953,1333.8245437877813,1183.6589145597038
17634,medium,4681.279,0.7130643653791515,1077.3823932677599,1060.083426164651,972.0215501316219,1126.040858186007,1003.4311529118286
42634,low,4514.468,0.7130643653791515,1043.7256971071183,1026.95907925848,941.6587595414518,976.0976811427265,857.3163765180843
389485,high,17339.225,0.7130643653791515,4044.9722755023827,3979.969374588831,3649.365045582763,3671.8737943986957,3211.4655211774752
326096,high,5282.032999999999,0.7130643653791515,1200.4447313361309,1181.1970594366753,1083.0944370095876,1231.6060045309532,1095.0420145384498
345121,medium,2367.071,0.7130643653791515,542.639678926941,533.9273015652711,489.5773829399432,667.3079872355398,605.5573615547569
291620,high,8971.704000000002,0.7130643653791515,2064.453088108403,2031.3008680153357,1862.5673139624707,1972.8356482228066,1737.8843121256791
