zip_code,utility,acronym,type,climate_zone,city,county,utility_baseline_territory,summer_baseline_allowance,winter_baseline_allowance,puma,percentpuma,,,,,,,,,,,,,,,
90042,Los Angeles Department of Water & Power,LADWP,POU,9,Los Angeles,Los Angeles County,Zone 2,16.66667,16.66667,3735,0.881563713,,,,,,,,,,,,,,,
90043,Los Angeles Department of Water & Power,LADWP,POU,8,Los Angeles,Los Angeles County,Zone 1,11.66667,11.66667,3747,0.838055961,,,,,,,,,,,,,,,
90044,Los Angeles Department of Water & Power,LADWP,POU,8,Los Angeles,Los Angeles County,Zone 2,16.66667,16.66667,3750,0.711775679,,,,,,,,,,,,,,,
90045,Los Angeles Department of Water & Power,LADWP,POU,6,Los Angeles,Los Angeles County,Zone 1,11.66667,11.66667,3748,0.993226725,,,,,,,,,,,,,,,
90046,Los Angeles Department of Water & Power,LADWP,POU,9,Los Angeles,Los Angeles County,Zone 1,11.66667,11.66667,3731,0.852689636,,,,,,,,,,,,,,,
90047,Los Angeles Department of Water & Power,LADWP,POU,8,Los Angeles,Los Angeles County,Zone 1,11.66667,11.66667,3750,0.646968167,,,,,,,,,,,,,,,
90048,Los Angeles Department of Water & Power,LADWP,POU,9,Los Angeles,Los Angeles County,Zone 1,11.66667,11.66667,3730,0.755022577,,,,,,,,,,,,,,,
90049,Los Angeles Department of Water & Power,LADWP,POU,6,Los Angeles,Los Angeles County,Zone 1,11.66667,11.66667,3774,0.855929667,,,,,,,,,,,,,,,
90056,Los Angeles Department of Water & Power,LADWP,POU,8,Los Angeles,Los Angeles County,Zone 1,11.66667,11.66667,3748,0.640863176,,,,,,,,,,,,,,,
90057,Los Angeles Department of Water & Power,LADWP,POU,9,Los Angeles,Los Angeles County,Zone 2,16.66667,16.66667,3734,0.990564698,,,,,,,,,,,,,,,
90058,Los Angeles Department of Water & Power,LADWP,POU,8,Los Angeles,Los Angeles County,Zone 2,16.66667,16.66667,3742,0.851431735,,,,,,,,,,,,,,,
90059,Los Angeles Department of Water & Power,LADWP,POU,8,Los Angeles,Los Angeles County,Zone 2,16.66667,16.66667,3757,0.499491969,,,,,,,,,,,,,,,
90061,Los Angeles Department of Water & Power,LADWP,POU,8,Los Angeles,Los Angeles County,Zone 2,16.66667,16.66667,3757,0.539493792,,,,,,,,,,,,,,,
90062,Los Angeles Department of Water & Power,LADWP,POU,8,Los Angeles,Los Angeles County,Zone 2,16.66667,16.66667,3750,0.748229257,,,,,,,,,,,,,,,
90063,Los Angeles Department of Water & Power,LADWP,POU,9,Los Angeles,Los Angeles County,Zone 2,16.66667,16.66667,3743,0.779736182,,,,,,,,,,,,,,,
90064,Los Angeles Department of Water & Power,LADWP,POU,9,Los Angeles,Los Angeles County,Zone 1,11.66667,11.66667,3770,0.725662511,,,,,,,,,,,,,,,
90065,Los Angeles Department of Water & Power,LADWP,POU,9,Los Angeles,Los Angeles County,Zone 2,16.66667,16.66667,3735,0.896223861,,,,,,,,,,,,,,,
90066,Los Angeles Department of Water & Power,LADWP,POU,6,Los Angeles,Los Angeles County,Zone 1,11.66667,11.66667,3770,0.594551577,,,,,,,,,,,,,,,
90067,Los Angeles Department of Water & Power,LADWP,POU,9,Los Angeles,Los Angeles County,Zone 1,11.66667,11.66667,3770,0.987203321,,,,,,,,,,,,,,,
90068,Los Angeles Department of Water & Power,LADWP,POU,9,Los Angeles,Los Angeles County,Zone 1,11.66667,11.66667,3720,0.589497465,,,,,,,,,,,,,,,
90069,Los Angeles Department of Water & Power,LADWP,POU,9,West Hollywood,Los Angeles County,Zone 1,11.66667,11.66667,3731,1,,,,,,,,,,,,,,,
90071,Los Angeles Department of Water & Power,LADWP,POU,9,Los Angeles,Los Angeles County,Zone 2,16.66667,16.66667,3744,0.984060342,,,,,,,,,,,,,,,
90073,Southern California Edison,SCE,IOU,6,Los Angeles,Los Angeles County,6,11.4,11,3776,1,,,,,,,,,,,,,,,
90077,Los Angeles Department of Water & Power,LADWP,POU,9,Los Angeles,Los Angeles County,Zone 1,11.66667,11.66667,3775,0.985971624,,,,,,,,,,,,,,,
90089,Los Angeles Department of Water & Power,LADWP,POU,8,Los Angeles,Los Angeles County,Zone 2,16.66667,16.66667,3746,1,,,,,,,,,,,,,,,
90094,Los Angeles Department of Water & Power,LADWP,POU,6,Playa Vista,Los Angeles County,Zone 1,11.66667,11.66667,3748,1,,,,,,,,,,,,,,,
90095,Los Angeles Department of Water & Power,LADWP,POU,9,Los Angeles,Los Angeles County,Zone 2,16.66667,16.66667,3776,0.995546905,,,,,,,,,,,,,,,
90201,Southern California Edison,SCE,IOU,8,Bell Gardens,Los Angeles County,8,12.8,10.3,3741,0.992277867,,,,,,,,,,,,,,,
90210,Los Angeles Department of Water & Power,LADWP,POU,9,Beverly Hills,Los Angeles County,Zone 1,11.66667,11.66667,3775,0.623915723,,,,,,,,,,,,,,,
90211,Southern California Edison,SCE,IOU,9,Beverly Hills,Los Angeles County,9,16.9,12,3731,0.967884998,,,,,,,,,,,,,,,
90212,Los Angeles Department of Water & Power,LADWP,POU,9,Beverly Hills,Los Angeles County,Zone 1,11.66667,11.66667,3731,0.972217023,,,,,,,,,,,,,,,
90220,Southern California Edison,SCE,IOU,8,Compton,Los Angeles County,8,12.8,10.3,3757,0.978922275,,,,,,,,,,,,,,,
90221,Southern California Edison,SCE,IOU,8,Compton,Los Angeles County,8,12.8,10.3,3757,0.964342847,,,,,,,,,,,,,,,
90222,Southern California Edison,SCE,IOU,8,Compton,Los Angeles County,8,12.8,10.3,3757,0.995850609,,,,,,,,,,,,,,,
90230,Los Angeles Department of Water & Power,LADWP,POU,8,Culver City,Los Angeles County,Zone 1,11.66667,11.66667,3748,0.961385065,,,,,,,,,,,,,,,
90232,Los Angeles Department of Water & Power,LADWP,POU,8,Culver City,Los Angeles County,Zone 1,11.66667,11.66667,3748,0.934014034,,,,,,,,,,,,,,,
90240,Southern California Edison,SCE,IOU,8,Downey,Los Angeles County,8,12.8,10.3,3753,0.992586559,,,,,,,,,,,,,,,
90241,Southern California Edison,SCE,IOU,8,Downey,Los Angeles County,8,12.8,10.3,3753,0.928034713,,,,,,,,,,,,,,,
90242,Southern California Edison,SCE,IOU,8,Downey,Los Angeles County,8,12.8,10.3,3753,0.995218175,,,,,,,,,,,,,,,
