zip_code,utility,acronym,type,climate_zone,city,county,utility_baseline_territory,summer_baseline_allowance,winter_baseline_allowance,puma,percentpuma,,,,,,,,,,,,,,,
92123,San Diego Gas & Electric,SDGE,IOU,7,San Diego,San Diego County,Coastal,11.7,11.96666667,7315,0.994983073,,,,,,,,,,,,,,,
92124,San Diego Gas & Electric,SDGE,IOU,7,San Diego,San Diego County,Coastal,11.7,11.96666667,7314,0.910218907,,,,,,,,,,,,,,,
92126,San Diego Gas & Electric,SDGE,IOU,7,San Diego,San Diego County,Coastal,11.7,11.96666667,7311,0.506722115,,,,,,,,,,,,,,,
92127,San Diego Gas & Electric,SDGE,IOU,10,San Diego,San Diego County,Inland,13.53333333,12.46666667,7326,0.99746166,,,,,,,,,,,,,,,
92128,San Diego Gas & Electric,SDGE,IOU,10,San Diego,San Diego County,Inland,13.53333333,12.46666667,7308,0.995645932,,,,,,,,,,,,,,,
92129,San Diego Gas & Electric,SDGE,IOU,7,San Diego,San Diego County,Coastal,11.7,11.96666667,7326,0.532085022,,,,,,,,,,,,,,,
92130,San Diego Gas & Electric,SDGE,IOU,7,San Diego,San Diego County,Coastal,11.7,11.96666667,7311,0.92708242,,,,,,,,,,,,,,,
92131,San Diego Gas & Electric,SDGE,IOU,10,San Diego,San Diego County,Inland,13.53333333,12.46666667,7308,0.527152486,,,,,,,,,,,,,,,
92134,San Diego Gas & Electric,SDGE,IOU,7,San Diego,San Diego County,Coastal,11.7,11.96666667,7316,1,,,,,,,,,,,,,,,
92135,San Diego Gas & Electric,SDGE,IOU,7,San Diego,San Diego County,Coastal,11.7,11.96666667,7310,1,,,,,,,,,,,,,,,
92136,San Diego Gas & Electric,SDGE,IOU,7,San Diego,San Diego County,Coastal,11.7,11.96666667,7316,0.530987209,,,,,,,,,,,,,,,
92139,San Diego Gas & Electric,SDGE,IOU,7,San Diego,San Diego County,Coastal,11.7,11.96666667,7327,0.994718793,,,,,,,,,,,,,,,
92140,San Diego Gas & Electric,SDGE,IOU,7,San Diego,San Diego County,Coastal,11.7,11.96666667,7310,1,,,,,,,,,,,,,,,
92145,San Diego Gas & Electric,SDGE,IOU,7,San Diego,San Diego County,Coastal,11.7,11.96666667,7312,0.983912761,,,,,,,,,,,,,,,
92147,San Diego Gas & Electric,SDGE,IOU,7,San Diego,San Diego County,Coastal,11.7,11.96666667,7310,0.997160639,,,,,,,,,,,,,,,
92152,San Diego Gas & Electric,SDGE,IOU,7,San Diego,San Diego County,Coastal,11.7,11.96666667,7310,1,,,,,,,,,,,,,,,
92154,San Diego Gas & Electric,SDGE,IOU,7,San Diego,San Diego County,Coastal,11.7,11.96666667,7322,0.985076905,,,,,,,,,,,,,,,
92155,San Diego Gas & Electric,SDGE,IOU,7,San Diego,San Diego County,Coastal,11.7,11.96666667,7310,1,,,,,,,,,,,,,,,
92173,San Diego Gas & Electric,SDGE,IOU,7,San Ysidro,San Diego County,Coastal,11.7,11.96666667,7322,1,,,,,,,,,,,,,,,
92182,San Diego Gas & Electric,SDGE,IOU,7,San Diego,San Diego County,Coastal,11.7,11.96666667,7317,0.96027237,,,,,,,,,,,,,,,
92201,Imperial Irrigation District,NA,POU,15,Indio,Riverside County,NA,NA,NA,6501,0.98273931,,,,,,,,,,,,,,,
92203,Southern California Edison,SCE,IOU,15,Indio,Riverside County,15,45,9.7,6501,0.827823767,,,,,,,,,,,,,,,
92210,Southern California Edison,SCE,IOU,15,Indian Wells,Riverside County,15,45,9.7,6515,1,,,,,,,,,,,,,,,
92211,Southern California Edison,SCE,IOU,15,Palm Desert,Riverside County,15,45,9.7,6515,0.971396718,,,,,,,,,,,,,,,
92220,Southern California Edison,SCE,IOU,15,Banning,Riverside County,15,45,9.7,6507,0.978355647,,,,,,,,,,,,,,,
92223,Southern California Edison,SCE,IOU,10,Beaumont,Riverside County,10,19.3,12.1,6507,0.999745847,,,,,,,,,,,,,,,
92225,Southern California Edison,SCE,IOU,15,Blythe,Riverside County,15,45,9.7,6501,0.99458419,,,,,,,,,,,,,,,
92227,Imperial Irrigation District,NA,POU,15,Brawley,Imperial County,NA,NA,NA,2500,1,,,,,,,,,,,,,,,
92230,Southern California Edison,SCE,IOU,15,Cabazon,Riverside County,15,45,9.7,6507,0.990812187,,,,,,,,,,,,,,,
92231,Imperial Irrigation District,NA,POU,15,Calexico,Imperial County,NA,NA,NA,2500,1,,,,,,,,,,,,,,,
92233,Imperial Irrigation District,NA,POU,15,Calipatria,Imperial County,NA,NA,NA,2500,1,,,,,,,,,,,,,,,
92234,Southern California Edison,SCE,IOU,15,Cathedral City,Riverside County,15,45,9.7,6502,0.912092291,,,,,,,,,,,,,,,
92236,Imperial Irrigation District,NA,POU,15,Coachella,Riverside County,NA,NA,NA,6501,1,,,,,,,,,,,,,,,
92239,Southern California Edison,SCE,IOU,15,Desert Center,Riverside County,15,45,9.7,6501,0.99967473,,,,,,,,,,,,,,,
92240,Southern California Edison,SCE,IOU,15,Desert Hot Springs,Riverside County,15,45,9.7,6515,0.974273128,,,,,,,,,,,,,,,
92241,Southern California Edison,SCE,IOU,15,Desert Hot Springs,Riverside County,15,45,9.7,6515,0.56582026,,,,,,,,,,,,,,,
92242,Southern California Edison,SCE,IOU,15,Earp,San Bernardino County,15,45,9.7,7101,1,,,,,,,,,,,,,,,
92243,Imperial Irrigation District,NA,POU,15,El Centro,Imperial County,NA,NA,NA,2500,1,,,,,,,,,,,,,,,
92249,Imperial Irrigation District,NA,POU,15,Heber,Imperial County,NA,NA,NA,2500,1,,,,,,,,,,,,,,,
92250,Imperial Irrigation District,NA,POU,15,Holtville,Imperial County,NA,NA,NA,2500,1,,,,,,,,,,,,,,,
92251,Imperial Irrigation District,NA,POU,15,Imperial,Imperial County,NA,NA,NA,2500,1,,,,,,,,,,,,,,,
92252,Southern California Edison,SCE,IOU,14,Joshua Tree,San Bernardino County,14,19.2,11.9,7101,0.999887818,,,,,,,,,,,,,,,
92253,Southern California Edison,SCE,IOU,15,La Quinta,Riverside County,15,45,9.7,6515,0.655601171,,,,,,,,,,,,,,,
92254,Imperial Irrigation District,NA,POU,15,Mecca,Riverside County,NA,NA,NA,6501,0.998924399,,,,,,,,,,,,,,,
92256,Southern California Edison,SCE,IOU,14,Morongo Valley,San Bernardino County,14,19.2,11.9,7101,0.99832528,,,,,,,,,,,,,,,
92257,Imperial Irrigation District,NA,POU,15,Niland,Imperial County,NA,NA,NA,2500,0.999975725,,,,,,,,,,,,,,,
92258,Southern California Edison,SCE,IOU,15,North Palm Springs,Riverside County,15,45,9.7,6515,0.96245323,,,,,,,,,,,,,,,
92259,San Diego Gas & Electric,SDGE,IOU,15,Ocotillo,Imperial County,Desert,20.66666667,14.16666667,2500,0.999482325,,,,,,,,,,,,,,,
92260,Southern California Edison,SCE,IOU,15,Palm Desert,Riverside County,15,45,9.7,6515,0.56442333,,,,,,,,,,,,,,,
92262,Southern California Edison,SCE,IOU,15,Palm Springs,Riverside County,15,45,9.7,6502,0.999011165,,,,,,,,,,,,,,,
92264,Southern California Edison,SCE,IOU,15,Palm Springs,Riverside County,15,45,9.7,6502,1,,,,,,,,,,,,,,,
92266,Southern California Edison,SCE,IOU,14,Palo Verde,Imperial County,14,19.2,11.9,2500,0.995720666,,,,,,,,,,,,,,,
92267,Southern California Edison,SCE,IOU,15,Parker Dam,San Bernardino County,15,45,9.7,7101,1,,,,,,,,,,,,,,,
92268,Southern California Edison,SCE,IOU,14,Pioneertown,San Bernardino County,14,19.2,11.9,7101,0.999263347,,,,,,,,,,,,,,,
92270,Southern California Edison,SCE,IOU,15,Rancho Mirage,Riverside County,15,45,9.7,6502,0.999119351,,,,,,,,,,,,,,,
92273,Imperial Irrigation District,NA,POU,15,Seeley,Imperial County,NA,NA,NA,2500,1,,,,,,,,,,,,,,,
92274,Imperial Irrigation District,NA,POU,15,Thermal,Riverside County,NA,NA,NA,2500,0.869191915,,,,,,,,,,,,,,,
92275,Imperial Irrigation District,NA,POU,15,Salton City,Imperial County,NA,NA,NA,2500,1,,,,,,,,,,,,,,,
92276,Southern California Edison,SCE,IOU,15,Thousand Palms,Riverside County,15,45,9.7,6515,0.804976674,,,,,,,,,,,,,,,
92277,Southern California Edison,SCE,IOU,14,Twentynine Palms,San Bernardino County,14,19.2,11.9,7101,0.999838207,,,,,,,,,,,,,,,
92278,Southern California Edison,SCE,IOU,14,Twentynine Palms,San Bernardino County,14,19.2,11.9,7101,1,,,,,,,,,,,,,,,
92280,Southern California Edison,SCE,IOU,15,Vidal,San Bernardino County,15,45,9.7,7101,0.999457918,,,,,,,,,,,,,,,
92281,Imperial Irrigation District,NA,POU,15,Westmorland,Imperial County,NA,NA,NA,2500,1,,,,,,,,,,,,,,,
92282,Southern California Edison,SCE,IOU,15,Whitewater,Riverside County,15,45,9.7,6502,0.993520406,,,,,,,,,,,,,,,
92283,Southern California Edison,SCE,IOU,15,Winterhaven,Imperial County,15,45,9.7,2500,0.999916756,,,,,,,,,,,,,,,
92284,Southern California Edison,SCE,IOU,14,Yucca Valley,San Bernardino County,14,19.2,11.9,7101,0.999740342,,,,,,,,,,,,,,,
92285,Southern California Edison,SCE,IOU,14,Landers,San Bernardino County,14,19.2,11.9,7101,0.999954495,,,,,,,,,,,,,,,
92301,Southern California Edison,SCE,IOU,14,Adelanto,San Bernardino County,14,19.2,11.9,7102,0.723170621,,,,,,,,,,,,,,,
92304,Southern California Edison,SCE,IOU,15,Amboy,San Bernardino County,15,45,9.7,7101,1,,,,,,,,,,,,,,,
92305,Southern California Edison,SCE,IOU,16,Angelus Oaks,San Bernardino County,16,14.7,12.4,7104,0.999909108,,,,,,,,,,,,,,,
92307,Southern California Edison,SCE,IOU,14,Apple Valley,San Bernardino County,14,19.2,11.9,7101,0.731074999,,,,,,,,,,,,,,,
92308,Southern California Edison,SCE,IOU,14,Apple Valley,San Bernardino County,14,19.2,11.9,7104,0.730484497,,,,,,,,,,,,,,,
92309,Southern California Edison,SCE,IOU,14,Baker,San Bernardino County,14,19.2,11.9,7101,0.999837363,,,,,,,,,,,,,,,
92310,Southern California Edison,SCE,IOU,14,Fort Irwin,San Bernardino County,14,19.2,11.9,7101,1,,,,,,,,,,,,,,,
92311,Southern California Edison,SCE,IOU,14,Barstow,San Bernardino County,14,19.2,11.9,7101,1,,,,,,,,,,,,,,,
92313,Southern California Edison,SCE,IOU,10,Grand Terrace,San Bernardino County,10,19.3,12.1,7116,0.990938507,,,,,,,,,,,,,,,
92314,Southern California Edison,SCE,IOU,16,Big Bear City,San Bernardino County,16,14.7,12.4,7104,0.99918431,,,,,,,,,,,,,,,
92315,Southern California Edison,SCE,IOU,16,Big Bear Lake,San Bernardino County,16,14.7,12.4,7104,1,,,,,,,,,,,,,,,
92316,Southern California Edison,SCE,IOU,10,Bloomington,San Bernardino County,10,19.3,12.1,7116,0.61672968,,,,,,,,,,,,,,,
92317,Southern California Edison,SCE,IOU,16,Blue Jay,San Bernardino County,16,14.7,12.4,7104,1,,,,,,,,,,,,,,,
92318,Southern California Edison,SCE,IOU,10,Bryn Mawr,San Bernardino County,10,19.3,12.1,7116,1,,,,,,,,,,,,,,,
92320,Southern California Edison,SCE,IOU,10,Calimesa,Riverside County,10,19.3,12.1,6507,0.998815391,,,,,,,,,,,,,,,
92321,Southern California Edison,SCE,IOU,16,Cedar Glen,San Bernardino County,16,14.7,12.4,7104,1,,,,,,,,,,,,,,,
92322,Southern California Edison,SCE,IOU,16,Cedarpines Park,San Bernardino County,16,14.7,12.4,7104,1,,,,,,,,,,,,,,,
92324,Southern California Edison,SCE,IOU,10,Colton,San Bernardino County,10,19.3,12.1,7116,0.694315645,,,,,,,,,,,,,,,
92325,Southern California Edison,SCE,IOU,16,Crestline,San Bernardino County,16,14.7,12.4,7104,1,,,,,,,,,,,,,,,
92327,Southern California Edison,SCE,IOU,14,Daggett,San Bernardino County,14,19.2,11.9,7101,1,,,,,,,,,,,,,,,
92328,Southern California Edison,SCE,IOU,14,Death Valley,Inyo County,14,19.2,11.9,300,0.999974401,,,,,,,,,,,,,,,
92332,Southern California Edison,SCE,IOU,14,Essex,San Bernardino County,14,19.2,11.9,7101,0.999974769,,,,,,,,,,,,,,,
92333,Bear Valley Electric Service,NA,IOU,16,Fawnskin,San Bernardino County,NA,NA,NA,7104,1,,,,,,,,,,,,,,,
92335,Southern California Edison,SCE,IOU,10,Fontana,San Bernardino County,10,19.3,12.1,7115,0.61061333,,,,,,,,,,,,,,,
92336,Southern California Edison,SCE,IOU,10,Fontana,San Bernardino County,10,19.3,12.1,7115,0.551161234,,,,,,,,,,,,,,,
92337,Southern California Edison,SCE,IOU,10,Fontana,San Bernardino County,10,19.3,12.1,7110,0.517115767,,,,,,,,,,,,,,,
92338,Southern California Edison,SCE,IOU,14,Ludlow,San Bernardino County,14,19.2,11.9,7101,1,,,,,,,,,,,,,,,
92339,Southern California Edison,SCE,IOU,16,Forest Falls,San Bernardino County,16,14.7,12.4,7104,0.998013685,,,,,,,,,,,,,,,
92341,Southern California Edison,SCE,IOU,16,Green Valley Lake,San Bernardino County,16,14.7,12.4,7104,1,,,,,,,,,,,,,,,
92342,Southern California Edison,SCE,IOU,14,Helendale,San Bernardino County,14,19.2,11.9,7101,0.843073912,,,,,,,,,,,,,,,
92344,Southern California Edison,SCE,IOU,"14, 16",Hesperia,San Bernardino County,14,19.2,11.9,7103,0.784020501,,,,,,,,,,,,,,,
92345,Southern California Edison,SCE,IOU,14,Hesperia,San Bernardino County,14,19.2,11.9,7103,0.971760897,,,,,,,,,,,,,,,
92346,Southern California Edison,SCE,IOU,10,Highland,San Bernardino County,10,19.3,12.1,7107,0.612337591,,,,,,,,,,,,,,,
92347,Southern California Edison,SCE,IOU,14,Hinkley,San Bernardino County,14,19.2,11.9,7101,1,,,,,,,,,,,,,,,
92350,Southern California Edison,SCE,IOU,10,Loma Linda,San Bernardino County,10,19.3,12.1,7116,1,,,,,,,,,,,,,,,
92352,Southern California Edison,SCE,IOU,16,Lake Arrowhead,San Bernardino County,16,14.7,12.4,7104,1,,,,,,,,,,,,,,,
92354,Southern California Edison,SCE,IOU,10,Loma Linda,San Bernardino County,10,19.3,12.1,7116,0.930014693,,,,,,,,,,,,,,,
92356,Southern California Edison,SCE,IOU,14,Lucerne Valley,San Bernardino County,14,19.2,11.9,7101,0.855896509,,,,,,,,,,,,,,,
92358,Southern California Edison,SCE,IOU,16,Lytle Creek,San Bernardino County,16,14.7,12.4,7104,1,,,,,,,,,,,,,,,
92359,Southern California Edison,SCE,IOU,16,Mentone,San Bernardino County,16,14.7,12.4,7104,0.75562017,,,,,,,,,,,,,,,
92363,Southern California Edison,SCE,IOU,15,Needles,San Bernardino County,15,45,9.7,7101,1,,,,,,,,,,,,,,,
92364,Southern California Edison,SCE,IOU,14,Nipton,San Bernardino County,14,19.2,11.9,7101,1,,,,,,,,,,,,,,,
92365,Southern California Edison,SCE,IOU,14,Newberry Springs,San Bernardino County,14,19.2,11.9,7101,1,,,,,,,,,,,,,,,
92368,Southern California Edison,SCE,IOU,14,Oro Grande,San Bernardino County,14,19.2,11.9,7101,0.997573088,,,,,,,,,,,,,,,
92371,Southern California Edison,SCE,IOU,14,Phelan,San Bernardino County,14,19.2,11.9,7104,0.693932093,,,,,,,,,,,,,,,
92372,Southern California Edison,SCE,IOU,14,Pinon Hills,San Bernardino County,14,19.2,11.9,7104,0.998979488,,,,,,,,,,,,,,,
92373,Southern California Edison,SCE,IOU,10,Redlands,San Bernardino County,10,19.3,12.1,7105,0.384292121,,,,,,,,,,,,,,,
92374,Southern California Edison,SCE,IOU,10,Redlands,San Bernardino County,10,19.3,12.1,7105,0.921622077,,,,,,,,,,,,,,,
92376,Southern California Edison,SCE,IOU,10,Rialto,San Bernardino County,10,19.3,12.1,7117,0.883648723,,,,,,,,,,,,,,,
92377,Southern California Edison,SCE,IOU,10,Rialto,San Bernardino County,10,19.3,12.1,7117,0.527983611,,,,,,,,,,,,,,,
92378,Southern California Edison,SCE,IOU,16,Rimforest,San Bernardino County,16,14.7,12.4,7104,1,,,,,,,,,,,,,,,
92382,Southern California Edison,SCE,IOU,16,Running Springs,San Bernardino County,16,14.7,12.4,7104,1,,,,,,,,,,,,,,,
92384,Southern California Edison,SCE,IOU,14,Shoshone,Inyo County,14,19.2,11.9,300,0.999971556,,,,,,,,,,,,,,,
92385,Southern California Edison,SCE,IOU,16,Skyforest,San Bernardino County,16,14.7,12.4,7104,1,,,,,,,,,,,,,,,
92386,Southern California Edison,SCE,IOU,16,Sugarloaf,San Bernardino County,16,14.7,12.4,7104,1,,,,,,,,,,,,,,,
92389,Southern California Edison,SCE,IOU,14,Tecopa,Inyo County,14,19.2,11.9,300,0.999685961,,,,,,,,,,,,,,,
92391,Southern California Edison,SCE,IOU,16,Twin Peaks,San Bernardino County,16,14.7,12.4,7104,1,,,,,,,,,,,,,,,
92392,Southern California Edison,SCE,IOU,14,Victorville,San Bernardino County,14,19.2,11.9,7102,0.844074869,,,,,,,,,,,,,,,
92394,Southern California Edison,SCE,IOU,14,Victorville,San Bernardino County,14,19.2,11.9,7102,0.798945485,,,,,,,,,,,,,,,
92395,Southern California Edison,SCE,IOU,"14, 16",Victorville,San Bernardino County,14,19.2,11.9,7102,0.922309436,,,,,,,,,,,,,,,
92397,Southern California Edison,SCE,IOU,16,Wrightwood,San Bernardino County,16,14.7,12.4,7104,0.9081511,,,,,,,,,,,,,,,
92398,Southern California Edison,SCE,IOU,14,Yermo,San Bernardino County,14,19.2,11.9,7101,1,,,,,,,,,,,,,,,
92399,Southern California Edison,SCE,IOU,10,Yucaipa,San Bernardino County,10,19.3,12.1,7105,0.855652995,,,,,,,,,,,,,,,
92401,Southern California Edison,SCE,IOU,10,San Bernardino,San Bernardino County,10,19.3,12.1,7108,1,,,,,,,,,,,,,,,
92404,Southern California Edison,SCE,IOU,16,San Bernardino,San Bernardino County,16,14.7,12.4,7104,0.5623989,,,,,,,,,,,,,,,
92405,Southern California Edison,SCE,IOU,10,San Bernardino,San Bernardino County,10,19.3,12.1,7108,1,,,,,,,,,,,,,,,
92407,Southern California Edison,SCE,IOU,10,San Bernardino,San Bernardino County,10,19.3,12.1,7104,0.941955813,,,,,,,,,,,,,,,
92408,Southern California Edison,SCE,IOU,10,San Bernardino,San Bernardino County,10,19.3,12.1,7107,0.604552838,,,,,,,,,,,,,,,
92410,Southern California Edison,SCE,IOU,10,San Bernardino,San Bernardino County,10,19.3,12.1,7108,0.745182198,,,,,,,,,,,,,,,
92411,Southern California Edison,SCE,IOU,10,San Bernardino,San Bernardino County,10,19.3,12.1,7108,0.901417037,,,,,,,,,,,,,,,
92415,Southern California Edison,SCE,IOU,10,San Bernardino,San Bernardino County,10,19.3,12.1,7108,1,,,,,,,,,,,,,,,
92501,Southern California Edison,SCE,IOU,10,Riverside,Riverside County,10,19.3,12.1,6511,0.773872979,,,,,,,,,,,,,,,
92503,Southern California Edison,SCE,IOU,10,Riverside,Riverside County,10,19.3,12.1,6521,0.54625925,,,,,,,,,,,,,,,
92504,Southern California Edison,SCE,IOU,10,Riverside,Riverside County,10,19.3,12.1,6521,0.403192349,,,,,,,,,,,,,,,
92505,Southern California Edison,SCE,IOU,10,Riverside,Riverside County,10,19.3,12.1,6511,0.958944034,,,,,,,,,,,,,,,
92506,Southern California Edison,SCE,IOU,10,Riverside,Riverside County,10,19.3,12.1,6520,0.776162587,,,,,,,,,,,,,,,
92507,Southern California Edison,SCE,IOU,10,Riverside,Riverside County,10,19.3,12.1,6520,0.786779682,,,,,,,,,,,,,,,
92508,Southern California Edison,SCE,IOU,10,Riverside,Riverside County,10,19.3,12.1,6520,0.502200454,,,,,,,,,,,,,,,
92509,Southern California Edison,SCE,IOU,10,Jurupa Valley,Riverside County,10,19.3,12.1,6514,0.982862765,,,,,,,,,,,,,,,
92518,Southern California Edison,SCE,IOU,10,March Air Reserve Base,Riverside County,10,19.3,12.1,6520,0.996150086,,,,,,,,,,,,,,,
92521,City of Riverside,NA,POU,10,Riverside,Riverside County,NA,NA,NA,6520,1,,,,,,,,,,,,,,,
92530,Southern California Edison,SCE,IOU,10,Lake Elsinore,Riverside County,10,19.3,12.1,6516,0.983916689,,,,,,,,,,,,,,,
92532,Southern California Edison,SCE,IOU,10,Lake Elsinore,Riverside County,10,19.3,12.1,6516,0.600326953,,,,,,,,,,,,,,,
92536,Southern California Edison,SCE,IOU,15,Aguanga,Riverside County,15,45,9.7,6515,0.571040319,,,,,,,,,,,,,,,
92539,Southern California Edison,SCE,IOU,16,Anza,Riverside County,16,14.7,12.4,6502,0.507531184,,,,,,,,,,,,,,,
92543,Southern California Edison,SCE,IOU,10,Hemet,Riverside County,10,19.3,12.1,6525,0.653080117,,,,,,,,,,,,,,,
92544,Southern California Edison,SCE,IOU,10,Hemet,Riverside County,10,19.3,12.1,6525,0.475687598,,,,,,,,,,,,,,,
92545,Southern California Edison,SCE,IOU,10,Hemet,Riverside County,10,19.3,12.1,6525,0.796896246,,,,,,,,,,,,,,,
92548,Southern California Edison,SCE,IOU,10,Homeland,Riverside County,10,19.3,12.1,6509,0.807035479,,,,,,,,,,,,,,,
92549,Southern California Edison,SCE,IOU,16,Idyllwild,Riverside County,16,14.7,12.4,6502,0.998155544,,,,,,,,,,,,,,,
92551,Southern California Edison,SCE,IOU,10,Moreno Valley,Riverside County,10,19.3,12.1,6519,0.998652677,,,,,,,,,,,,,,,
92553,Southern California Edison,SCE,IOU,10,Moreno Valley,Riverside County,10,19.3,12.1,6519,0.529544911,,,,,,,,,,,,,,,
92555,Southern California Edison,SCE,IOU,10,Moreno Valley,Riverside County,10,19.3,12.1,6519,0.44268402,,,,,,,,,,,,,,,
92557,Southern California Edison,SCE,IOU,10,Moreno Valley,Riverside County,10,19.3,12.1,6518,0.999998155,,,,,,,,,,,,,,,
92561,Southern California Edison,SCE,IOU,16,Mountain Center,Riverside County,16,14.7,12.4,6515,0.582245709,,,,,,,,,,,,,,,
92562,Southern California Edison,SCE,IOU,10,Murrieta,Riverside County,10,19.3,12.1,6524,0.933929355,,,,,,,,,,,,,,,
92563,Southern California Edison,SCE,IOU,10,Murrieta,Riverside County,10,19.3,12.1,6524,0.880977251,,,,,,,,,,,,,,,
92567,Southern California Edison,SCE,IOU,10,Nuevo,Riverside County,10,19.3,12.1,6507,0.631991231,,,,,,,,,,,,,,,
92570,Southern California Edison,SCE,IOU,10,Perris,Riverside County,10,19.3,12.1,6509,0.726831673,,,,,,,,,,,,,,,
92571,Southern California Edison,SCE,IOU,10,Perris,Riverside County,10,19.3,12.1,6509,0.640716552,,,,,,,,,,,,,,,
92582,Southern California Edison,SCE,IOU,10,San Jacinto,Riverside County,10,19.3,12.1,6507,0.919197524,,,,,,,,,,,,,,,
92583,Southern California Edison,SCE,IOU,10,San Jacinto,Riverside County,10,19.3,12.1,6507,0.986078047,,,,,,,,,,,,,,,
92584,Southern California Edison,SCE,IOU,10,Menifee,Riverside County,10,19.3,12.1,6517,0.62386237,,,,,,,,,,,,,,,
92585,Southern California Edison,SCE,IOU,10,Menifee,Riverside County,10,19.3,12.1,6517,0.871304848,,,,,,,,,,,,,,,
92586,Southern California Edison,SCE,IOU,10,Menifee,Riverside County,10,19.3,12.1,6517,1,,,,,,,,,,,,,,,
92587,Southern California Edison,SCE,IOU,10,Menifee,Riverside County,10,19.3,12.1,6517,0.655772013,,,,,,,,,,,,,,,
92590,Southern California Edison,SCE,IOU,10,Temecula,Riverside County,10,19.3,12.1,6523,0.721400962,,,,,,,,,,,,,,,
92591,Southern California Edison,SCE,IOU,10,Temecula,Riverside County,10,19.3,12.1,6523,0.990955513,,,,,,,,,,,,,,,
92592,Southern California Edison,SCE,IOU,10,Temecula,Riverside County,10,19.3,12.1,6523,0.998992777,,,,,,,,,,,,,,,
92595,Southern California Edison,SCE,IOU,10,Wildomar,Riverside County,10,19.3,12.1,6524,0.779526089,,,,,,,,,,,,,,,
92596,Southern California Edison,SCE,IOU,10,Winchester,Riverside County,10,19.3,12.1,6525,0.468864788,,,,,,,,,,,,,,,
92602,Southern California Edison,SCE,IOU,8,Irvine,Orange County,8,12.8,10.3,5921,0.933499477,,,,,,,,,,,,,,,
92603,Southern California Edison,SCE,IOU,8,Irvine,Orange County,8,12.8,10.3,5924,0.782913217,,,,,,,,,,,,,,,
92604,Southern California Edison,SCE,IOU,8,Irvine,Orange County,8,12.8,10.3,5923,1,,,,,,,,,,,,,,,
92606,Southern California Edison,SCE,IOU,8,Irvine,Orange County,8,12.8,10.3,5923,0.691670165,,,,,,,,,,,,,,,
92610,Southern California Edison,SCE,IOU,8,Foothill Ranch,Orange County,8,12.8,10.3,5921,0.98100747,,,,,,,,,,,,,,,
92612,Southern California Edison,SCE,IOU,8,Irvine,Orange County,8,12.8,10.3,5924,0.646494979,,,,,,,,,,,,,,,
92614,Southern California Edison,SCE,IOU,8,Irvine,Orange County,8,12.8,10.3,5922,0.533135155,,,,,,,,,,,,,,,
92617,Southern California Edison,SCE,IOU,"6, 8",Irvine,Orange County,6,11.4,11,5924,0.945457269,,,,,,,,,,,,,,,
92618,Southern California Edison,SCE,IOU,8,Irvine,Orange County,8,12.8,10.3,5924,0.618554653,,,,,,,,,,,,,,,
92620,Southern California Edison,SCE,IOU,8,Irvine,Orange County,8,12.8,10.3,5923,0.734443889,,,,,,,,,,,,,,,
92624,San Diego Gas & Electric,SDGE,IOU,6,Capistrano Beach,Orange County,Coastal,11.7,11.96666667,5928,1,,,,,,,,,,,,,,,
92625,Southern California Edison,SCE,IOU,6,Corona del Mar,Orange County,6,11.4,11,5925,1,,,,,,,,,,,,,,,
92626,Southern California Edison,SCE,IOU,6,Costa Mesa,Orange County,6,11.4,11,5918,0.905887185,,,,,,,,,,,,,,,
92627,Southern California Edison,SCE,IOU,6,Costa Mesa,Orange County,6,11.4,11,5918,0.954617625,,,,,,,,,,,,,,,
92629,San Diego Gas & Electric,SDGE,IOU,6,Dana Point,Orange County,Coastal,11.7,11.96666667,5928,0.969632147,,,,,,,,,,,,,,,
92630,Southern California Edison,SCE,IOU,8,Lake Forest,Orange County,8,12.8,10.3,5921,0.812269098,,,,,,,,,,,,,,,
92637,Southern California Edison,SCE,IOU,"6, 8",Laguna Woods,Orange County,6,11.4,11,5925,0.999538523,,,,,,,,,,,,,,,
92646,Southern California Edison,SCE,IOU,6,Huntington Beach,Orange County,6,11.4,11,5914,0.995476244,,,,,,,,,,,,,,,
92647,Southern California Edison,SCE,IOU,6,Huntington Beach,Orange County,6,11.4,11,5914,0.906082077,,,,,,,,,,,,,,,
92648,Southern California Edison,SCE,IOU,6,Huntington Beach,Orange County,6,11.4,11,5914,1,,,,,,,,,,,,,,,
92649,Southern California Edison,SCE,IOU,6,Huntington Beach,Orange County,6,11.4,11,5914,0.991091784,,,,,,,,,,,,,,,
92651,Southern California Edison,SCE,IOU,6,Laguna Beach,Orange County,6,11.4,11,5925,0.981795565,,,,,,,,,,,,,,,
92653,Southern California Edison,SCE,IOU,6,Laguna Hills,Orange County,6,11.4,11,5926,0.688212646,,,,,,,,,,,,,,,
92655,Southern California Edison,SCE,IOU,6,Midway City,Orange County,6,11.4,11,5912,1,,,,,,,,,,,,,,,
92656,Southern California Edison,SCE,IOU,6,Aliso Viejo,Orange County,6,11.4,11,5925,0.986387347,,,,,,,,,,,,,,,
92657,Southern California Edison,SCE,IOU,6,Newport Coast,Orange County,6,11.4,11,5925,1,,,,,,,,,,,,,,,
92660,Southern California Edison,SCE,IOU,6,Newport Beach,Orange County,6,11.4,11,5925,0.900121417,,,,,,,,,,,,,,,
92661,Southern California Edison,SCE,IOU,6,Newport Beach,Orange County,6,11.4,11,5925,0.999339152,,,,,,,,,,,,,,,
