building_id,income,annual_kwh,baseline_bill_tou_dr,rate_scenario,s1_upfront,s1_bill,s1_bill_delta,s1_fuel_savings,s1_net_annual_savings,s1_payback,s2_upfront,s2_bill,s2_bill_savings,s2_net_annual_savings,s2_payback,s3_upfront,s3_bill,s3_bill_delta,s3_gas_savings,s3_fuel_savings,s3_net_annual_savings,s3_payback,s4_upfront,s4_bill,s4_bill_delta,s4_gas_savings,s4_fuel_savings,s4_net_annual_savings,s4_payback
100190,low,1789.571220212768,468.3658477252021,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
100227,low,2372.8935243111832,620.0011751973524,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
100321,medium,1342.7643758018264,567.3137293676331,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
100325,low,5128.481562877703,1402.0602118558652,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
100368,medium,5333.303597317941,2338.546759348672,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
100534,low,3542.295552408934,929.0876591172788,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
100684,medium,3763.644279645565,1600.6858595752587,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
100775,medium,3359.5606866863154,1408.6777548191917,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
101010,low,5850.210373360577,1670.7747226632505,tou_dr,10000.0,2217.1983346555853,546.4236119923348,2640.0,2093.576388007665,4.776515467637853,14881.984636110137,707.0820192043954,963.6927034588551,963.6927034588551,15.442666093347176,51936.23682514796,1162.3366750681798,-508.43804759507066,447.875,2640.0,3596.3130475950707,14.44152278675484,52483.64905731911,1128.1370780327125,-542.637644630538,447.875,2640.0,3630.512644630538,14.45626394799684
10121,low,3115.3225933210133,859.4863687851029,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
101305,medium,4021.420613051955,1665.767192496386,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
101323,low,6876.783469879788,2005.675616386609,tou_dr,10000.0,2721.4127861221086,715.7371697354997,2640.0,1924.2628302645003,5.196795283223055,,,,,,,,,,,,,,,,,,,
101366,medium,3768.520213776028,1579.2452116226596,tou_dr,10000.0,4793.378700536085,3214.133488913425,2640.0,-574.133488913425,,13300.0,785.1283450993019,794.1168665233577,794.1168665233577,16.748164609860734,55177.807050098665,3443.914806480333,1864.6695948576735,447.875,2640.0,1223.2054051423265,45.109191651812914,55166.495626348624,3444.541063501935,1865.2958518792752,447.875,2640.0,1222.5791481207248,45.123046398384304
101374,medium,11279.86473385975,5439.444176115645,tou_dr,10000.0,6117.828610761,678.3844346453552,2640.0,1961.6155653546448,5.097838830715069,,,,,,,,,,,,,,,,,,,
101377,medium,2691.974140402315,1118.644822833156,tou_dr,,,,,,,13300.0,476.0898452479148,642.5549775852412,642.5549775852412,20.698617961037623,48300.0,1613.376915363302,494.732092530146,447.875,2640.0,2593.142907469854,18.62604635512611,50639.635128483074,1376.3923305425294,257.7475077093734,447.875,2640.0,2830.127492290627,17.893057915739604
101468,high,10061.663352850444,4842.363313115138,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
101479,high,4221.840188100343,1754.2386599056802,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
101659,low,2401.98247291922,629.7205080361113,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
102003,medium,4513.880690391931,1905.2660718524871,tou_dr,,,,,,,13401.342416263798,1020.1500592812004,885.1160125712868,885.1160125712868,15.140775023753694,48401.3424162638,2448.5351772020754,543.2691053495882,447.875,2640.0,2544.6058946504118,19.021154717128944,52808.68536749728,1903.876086165624,-1.389985686863156,447.875,2640.0,3089.264985686863,17.094255627849893
102110,high,4591.133370672744,2057.6666670494737,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
102197,low,4112.812092880013,1168.7275318840104,tou_dr,,,,,,,13300.0,528.6993232671465,640.0282086168639,640.0282086168639,20.780334086746002,48300.0,617.3360279244722,-551.3915039595382,447.875,2640.0,3639.266503959538,13.271905189534591,48321.50659806322,615.6765855701088,-553.0509463139016,447.875,2640.0,3640.9259463139015,13.271763092842974
102213,medium,4917.384562022127,2113.6007081917373,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
102225,low,2416.225019666543,631.0501117233816,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
102285,low,3956.922745008133,1048.9139705732623,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
102371,medium,3375.289460457848,1393.7129616093878,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
102438,medium,2129.630189933355,882.7052581480865,tou_dr,10000.0,2921.373564460912,2038.6683063128253,2640.0,601.3316936871747,16.629757095760546,13300.0,308.79047502687143,573.9147831212151,573.9147831212151,23.1741721787831,51029.49005871259,3045.261068235712,2162.5558100876256,447.875,2640.0,925.3191899123744,55.147986354357315,54136.543094710774,2851.314146776753,1968.6088886286666,447.875,2640.0,1119.2661113713334,48.36789262598353
102842,high,4046.529748550051,1708.9693329148267,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
10290,high,4197.436986323972,1761.184767846854,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
102932,low,2469.212832657868,655.0467857040504,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
102939,medium,3381.067421010516,1408.1731587564948,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
103004,high,5560.261633187224,2412.152182724052,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
103089,medium,817.5974621506391,336.8243752111141,tou_dr,,,,,,,13300.0,0.0,336.8243752111141,336.8243752111141,39.48645341259478,48300.0,203.7786951481812,-133.0456800629329,447.875,2640.0,3220.9206800629327,14.995712343669474,48300.0,203.7786951481812,-133.0456800629329,447.875,2640.0,3220.9206800629327,14.995712343669474
103245,medium,2672.6700619027706,1114.2115618987164,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
103273,low,8244.836673399785,2449.350403645129,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
103289,medium,5181.025358977086,2224.659406640625,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
103321,medium,3986.299391723328,1655.7222922850967,tou_dr,,,,,,,13300.0,800.0899453111368,855.6323469739599,855.6323469739599,15.54405936970119,48300.0,1844.702013248475,188.9797209633782,447.875,2640.0,2898.895279036622,16.661519424065343,51090.219515855424,1590.124859552795,-65.59743273230174,447.875,2640.0,3153.472432732302,16.201257694708527
103595,high,12616.225132267033,6170.886430958273,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
103599,medium,9593.34193040728,4605.854302494003,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
103627,medium,5975.2326616068685,2671.0249712786986,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
103655,medium,5140.570186651453,2153.299971117452,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
103799,high,8260.582560716088,3895.387362414423,tou_dr,,,,,,,17552.6570544715,1833.967854190912,2061.419508223511,2061.419508223511,8.514839887975068,52552.6570544715,1073.5540340827183,-2821.8333283317047,447.875,2640.0,5909.708328331704,8.892597423552878,50043.662070065344,1256.3535512628118,-2639.033811151611,447.875,2640.0,5726.908811151611,8.738337508119354
103807,low,671.7659980714551,174.5993119844562,tou_dr,,,,,,,13300.0,0.0,174.5993119844562,174.5993119844562,76.17441242371012,48300.0,16.003161142432702,-158.5961508420235,447.875,2640.0,3246.4711508420237,14.877692656370172,48300.0,16.003161142432702,-158.5961508420235,447.875,2640.0,3246.4711508420237,14.877692656370172
103944,medium,2432.069309865268,1012.49307889408,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
104255,high,10831.227067119373,5289.770492710353,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
104302,high,3914.651346430639,1631.1677789629753,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
104378,medium,1373.5865829953404,566.3725240659738,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
10448,high,7171.865094137856,3267.8365878334707,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
104532,high,8433.060708607094,3937.7297561771434,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
104561,medium,6280.423496924779,2857.427309584072,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
104648,low,4688.942775309287,1308.8776489956072,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
10477,low,5657.587697134956,1550.617554900388,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
104867,medium,4097.704238860217,1709.4443827056602,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
105055,medium,2572.202858142675,1082.0766474113998,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
105060,medium,6181.954241113474,2737.3021700347263,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
105069,low,2874.7460854719334,751.3972731668229,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
105088,high,2492.152113292116,1038.573346285061,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
105181,medium,7850.103493463753,3689.2432616392784,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
105457,high,4690.787681056307,2015.8275380027824,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
105460,medium,4287.237460242361,1789.586186986302,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
105485,medium,3814.542814046328,1584.3174663340658,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
