building_id,puma,income,is_care,annual_kwh,scaling_factor,tou_dr_bill,tou_dr_f_bill,F0_WF0_ROE0_bill,F0_WF0_ROE1.0_bill,F0_WF1_ROE0_bill,F50_WF0_ROE0_bill,F50_WF1_ROE1.0_bill,F100_WF0_ROE0_bill,assigned_pv,assigned_battery,assigned_ev,assigned_hp,ev_daily_miles,baseline_gas_therms,gas_savings_therms,grid_import_kwh_s1_ev,grid_export_kwh_s1_ev,export_value_s1_ev,self_consumption_kwh_s1_ev,self_sufficiency_s1_ev,F0_WF0_ROE0_bill_s1_ev,F0_WF0_ROE1.0_bill_s1_ev,F0_WF1_ROE0_bill_s1_ev,F50_WF0_ROE0_bill_s1_ev,F50_WF1_ROE1.0_bill_s1_ev,F100_WF0_ROE0_bill_s1_ev,tou_dr_bill_s1_ev,tou_dr_f_bill_s1_ev,pv_size_kw_s2,grid_import_kwh_s2_pv_stor,grid_export_kwh_s2_pv_stor,export_value_s2_pv_stor,self_consumption_kwh_s2_pv_stor,self_sufficiency_s2_pv_stor,F0_WF0_ROE0_bill_s2_pv_stor,F0_WF0_ROE1.0_bill_s2_pv_stor,F0_WF1_ROE0_bill_s2_pv_stor,F50_WF0_ROE0_bill_s2_pv_stor,F50_WF1_ROE1.0_bill_s2_pv_stor,F100_WF0_ROE0_bill_s2_pv_stor,tou_dr_bill_s2_pv_stor,tou_dr_f_bill_s2_pv_stor,pv_size_kw_s3,annual_kwh_s3,grid_import_kwh_s3_pv_stor_ev,grid_export_kwh_s3_pv_stor_ev,export_value_s3_pv_stor_ev,self_consumption_kwh_s3_pv_stor_ev,self_sufficiency_s3_pv_stor_ev,F0_WF0_ROE0_bill_s3_pv_stor_ev,F0_WF0_ROE1.0_bill_s3_pv_stor_ev,F0_WF1_ROE0_bill_s3_pv_stor_ev,F50_WF0_ROE0_bill_s3_pv_stor_ev,F50_WF1_ROE1.0_bill_s3_pv_stor_ev,F100_WF0_ROE0_bill_s3_pv_stor_ev,tou_dr_bill_s3_pv_stor_ev,tou_dr_f_bill_s3_pv_stor_ev
100190,G06007312,low,True,2509.6910000000003,0.7130643653791515,656.835301924198,713.2235982129991,656.8390564659001,642.9521338569,575.5764156219002,861.6332371989001,766.5183107048999,1066.4738384109,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100227,G06007317,low,True,3327.741,0.7130643653791515,869.4883734201042,920.2050494419968,869.4930015009,851.1041778309,761.8841310969001,997.6626880779,871.7106567189,1125.8950032069001,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100321,G06007330,medium,False,1883.0900000000001,0.7130643653791515,795.5996077100027,994.30800389,795.6040371000001,778.8516626,697.5226351000001,1613.1653744999999,1498.3584528,2430.8084664999997,0,0,1,1,10.098673448995061,7.749666585721266,7.749666585721266,3111.7619362943988,0.0,0.0,0.0,0.0,1261.7328992831267,1235.1945735885972,1106.0930980932344,1911.7478187357465,1729.5251826922874,2561.895996022951,1261.7570154767423,1396.0837748066901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100325,G06007301,low,True,7192.1720000000005,0.7130643653791515,2087.0972598345247,2108.013051924671,2087.1089132595234,2047.211954605523,1853.6516322585235,1849.277300998523,1576.0241098785232,1611.576778570523,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100368,G06007301,medium,False,7479.414000000001,0.7130643653791515,3471.399994828131,3341.8843593152396,3471.425597688132,3405.439576688132,3085.3464588881325,3451.4378141881316,2999.552347788132,3431.6791102881316,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100534,G06007315,low,True,4967.708,0.7130643653791515,1347.4179931767233,1386.5239115806703,1347.426804205523,1319.8894236285228,1186.2972084525231,1319.951731351523,1131.358952515523,1292.5696836675231,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100684,G06007310,medium,False,5278.127,0.7130643653791515,2341.3270331788112,2352.92553609227,2341.345959538811,2294.3181621388107,2066.1555510388107,2643.8929887388113,2321.799355038811,2946.5854045388105,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100775,G06007322,medium,False,4711.441000000001,0.7130643653791515,2022.8342770893257,2070.2449628324025,2022.84674612932,1981.26934922932,1779.5057454293199,2417.97166082932,2133.1475195293197,2813.24825712932,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101010,G06007324,low,True,8204.323,0.7130643653791515,2444.7493831749216,2459.606607748668,2444.7699226995237,2398.904453665523,2176.338728395523,2105.2110627675233,1791.0143298405233,1765.8636941505233,1,1,1,0,15.238619846258029,65.7711766185601,65.7711766185601,10058.355081294727,0.0,0.0,0.0,0.0,3004.8519242087937,2949.6834149062292,2681.702686169083,2506.0146209211875,2127.72896165436,2007.4377706341493,3004.8585216184138,2998.2924593359244,3.8146544694773414,3096.953958334815,1866.4642989322415,833.6620206900656,5517.426401067758,0.6725023382267808,0.0,0.0,0.0,441.1308,441.1308,882.2616,0.0,73.32864,3.8146544694773414,10058.355081294727,4341.103606684771,1273.7926683750086,789.7248444098135,6110.098031624992,0.607464936586678,308.49377763643326,287.5312722216339,185.46141687427382,441.1308,441.1308,882.2616,308.5075687013042,329.49612654088145
10121,G06007315,low,True,4368.922,0.7130643653791515,1234.1653989651027,1280.1523030379983,1234.1748292461,1209.4593846111,1089.5041217151002,1254.5660872191002,1085.2302122031,1275.0607852701,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101305,G06007316,medium,False,5639.6320000000005,0.7130643653791515,2478.4136620581316,2467.497705705245,2478.420422088132,2429.050635388132,2189.4614016881324,2740.837138788132,2402.6137836881317,3003.423613088132,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101323,G06007326,low,True,9643.987000000001,0.7130643653791515,2927.999293971024,2931.493241505669,2928.025277533523,2874.084052825524,2612.336985712523,2451.0339506115233,2081.5212721815233,1974.286713976523,0,0,1,0,19.58149199473915,48.18549394424715,48.18549394424715,12026.401859359928,0.0,0.0,0.0,0.0,3647.7257057612374,3581.8301564238786,3261.7252107231125,2966.062985040531,2514.1966019616834,2284.7072699406,3647.7345929196817,3623.6998059423636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
