building_id,puma,income,is_care,annual_kwh,scaling_factor,e_tou_c_bill,e_tou_c_f_bill,F0_WF0_ROE0_bill,F0_WF0_ROE1.0_bill,F0_WF1_ROE0_bill,F50_WF0_ROE0_bill,F50_WF1_ROE1.0_bill,F100_WF0_ROE0_bill
100045,G06009705,medium,False,5205.654,0.8624372092015187,2018.1803833299994,2027.1097057100017,2018.1148252,1991.8766378000003,1370.1445205000002,2396.9504034,1722.5088897,2775.3324505
100051,G06008512,low,True,6960.434,0.8079209467363546,1926.4409767200023,1729.465697757,1926.3725574599998,1903.28478002,1355.80585166,1587.99149964,994.1294881700001,1249.23188029
100080,G06008302,high,False,7938.257,0.7762566405843095,3421.7949390899958,3235.555240379999,3421.6793675999998,3381.2307642999995,2422.190708,3429.7257364999996,2389.4243513999995,3437.1061814999994
100088,G06008505,high,False,4662.001,0.8079209467363546,1816.2655657299988,1849.6333066999982,1816.2114993999999,1792.9999884999997,1243.2704899999999,2274.1986303999997,1677.8413818999998,2731.7624314
100112,G06008101,low,True,7738.125,0.7640705232624861,2170.5917371905,1930.7298705029964,2170.5327625799996,2145.4413517549997,1551.13166416,1780.655396715,1135.9374299,1390.322294365
100128,G06001902,low,True,6389.996999999999,0.9082432929445241,1631.1614808124996,1470.368474866002,1631.111310335,1610.359689835,1118.79440816,1354.1836386650002,820.9287181550001,1076.8813538250001
100171,G06007902,medium,False,5546.842,0.8079209467363546,2255.0987956299964,2229.155644369996,2255.0289759999996,2227.1061116,1565.4993417,2590.0335858,1872.3399452999997,2924.5540914999997
100286,G06007508,medium,False,2334.996,0.7640705232624861,856.4063417399996,1028.3445628200002,856.3790732400003,844.75647574,569.4923629400002,1616.08825774,1317.47660344,2375.58525994
1003,G06001311,high,False,5310.342000000001,0.8960338247617118,2116.4517256999998,2106.3611694400033,2116.3890902000003,2089.9475847000003,1463.6926339000001,2490.2517263,1810.8774198,2863.6316947
100304,G06009903,medium,False,3721.251,0.8960338247617118,1453.3830731299968,1549.589867979998,1453.3174986200002,1434.06576502,977.20355832,2013.4135754199997,1517.8706846199998,2573.2144148199995
100323,G06001906,medium,False,13071.339,0.9082432929445241,5851.680058000002,5340.722118829997,5851.4258164,5783.546726,4171.9337546,5142.1506159,3394.082526,4431.840343
100371,G06005302,high,False,10277.502,0.7640705232624861,4590.824096640002,4233.9340675799995,4590.686589600001,4538.6496523000005,3305.2839171,4297.157248199999,2959.2506102999996,4002.7458812000004
100403,G06008105,high,False,3153.3109999999997,0.7640705232624861,1213.956213520003,1334.6007071900037,1213.9186738,1198.1921534,825.6942142,1866.7381474000001,1462.6471064999998,2519.2726509
100407,G06008508,high,False,18833.393,0.8079209467363546,8521.055404679995,7604.514739890001,8520.8036766,8425.4911496,6166.4978432,7099.8095696,4649.3509887,5677.1993057
100415,G06007705,medium,False,7174.753000000001,0.8960338247617118,3067.76019689,2945.22519628,3067.61458982,3030.12909752,2139.90067402,3151.33704042,2185.75927672,3234.50633362
100435,G06007511,high,False,3744.5040000000004,0.7640705232624861,1489.2266004600049,1570.243427340006,1489.178847,1470.4924634000001,1027.8182610000001,2064.8570996999997,1584.6409448999998,2640.1971307
100450,G06007513,medium,False,2972.117,0.7640705232624861,1130.664974329998,1263.3767997999978,1130.63172062,1115.80521752,764.6738890200002,1806.93825292,1426.02742182,2482.97745252
100467,G06000300,medium,False,15653.365999999998,0.8960338247617118,6894.282360700006,6203.7557217199965,6894.073006599999,6815.3193722999995,4949.0586127,5904.810897299999,3880.3307028,4914.1738461
100541,G06009901,high,False,11875.154,0.8960338247617118,5082.724685049998,4645.451596430001,5082.5777554,5023.2917566999995,3618.864986,4600.9942821,3077.4522125,4118.3384728
10055,G06001904,low,True,8058.3099999999995,0.9082432929445241,2199.355220517004,1967.1249930719982,2199.26260242,2172.3526631299997,1533.78971642,1760.7586493900003,1068.09855594,1321.8209560700002
100550,G06000114,high,False,6901.573,0.7640705232624861,2777.6391275799965,2660.5896674299997,2777.59161136,2743.9948189600004,1949.6801163600003,2966.7061153600002,2105.00022126,3155.16587326
100556,G06007510,medium,False,4986.541,0.7640705232624861,2075.8636293800014,2073.6267161499995,2075.7993044,2050.8039074999997,1458.5789891000002,2487.0757271,1844.6332683,2897.9083966
100572,G06000115,low,True,2218.706,0.7640705232624861,533.3656715400019,530.5915863869988,533.348335806,526.124148251,354.98553411100005,608.667014696,423.015247551,683.856009386
100593,G06008520,low,True,4432.013,0.8079209467363546,1111.504503778501,1024.6912635749989,1111.47073908,1097.12682794,757.4092043049999,1001.4706541450001,632.939612955,891.2079962150001
100608,G06006717,low,True,8338.932,0.8960338247617118,2639.9557841865003,2349.9613264124987,2639.8600948200005,2611.508820895,1938.48945511,2163.47949688,1433.4945774500002,1686.686094565
