building_id,puma,income,is_care,annual_kwh,scaling_factor,tou_dr_bill,tou_dr_f_bill,F0_WF0_ROE0_bill,F0_WF0_ROE1.0_bill,F0_WF1_ROE0_bill,F50_WF0_ROE0_bill,F50_WF1_ROE1.0_bill,F100_WF0_ROE0_bill
100190,G06007312,low,True,2509.6910000000003,0.7130643653791515,656.835301924198,713.2235982129991,656.8390564659001,642.9521338569,575.5764156219002,861.6332371989001,766.5183107048999,1066.4738384109
100227,G06007317,low,True,3327.741,0.7130643653791515,869.4883734201042,920.2050494419968,869.4930015009,851.1041778309,761.8841310969001,997.6626880779,871.7106567189,1125.8950032069001
100321,G06007330,medium,False,1883.0900000000001,0.7130643653791515,795.5996077100027,994.30800389,795.6040371000001,778.8516626,697.5226351000001,1613.1653744999999,1498.3584528,2430.8084664999997
100325,G06007301,low,True,7192.1720000000005,0.7130643653791515,2087.0972598345247,2108.013051924671,2087.1089132595234,2047.211954605523,1853.6516322585235,1849.277300998523,1576.0241098785232,1611.576778570523
100368,G06007301,medium,False,7479.414000000001,0.7130643653791515,3471.399994828131,3341.8843593152396,3471.425597688132,3405.439576688132,3085.3464588881325,3451.4378141881316,2999.552347788132,3431.6791102881316
100534,G06007315,low,True,4967.708,0.7130643653791515,1347.4179931767233,1386.5239115806703,1347.426804205523,1319.8894236285228,1186.2972084525231,1319.951731351523,1131.358952515523,1292.5696836675231
100684,G06007310,medium,False,5278.127,0.7130643653791515,2341.3270331788112,2352.92553609227,2341.345959538811,2294.3181621388107,2066.1555510388107,2643.8929887388113,2321.799355038811,2946.5854045388105
100775,G06007322,medium,False,4711.441000000001,0.7130643653791515,2022.8342770893257,2070.2449628324025,2022.84674612932,1981.26934922932,1779.5057454293199,2417.97166082932,2133.1475195293197,2813.24825712932
101010,G06007324,low,True,8204.323,0.7130643653791515,2444.7493831749216,2459.606607748668,2444.7699226995237,2398.904453665523,2176.338728395523,2105.2110627675233,1791.0143298405233,1765.8636941505233
10121,G06007315,low,True,4368.922,0.7130643653791515,1234.1653989651027,1280.1523030379983,1234.1748292461,1209.4593846111,1089.5041217151002,1254.5660872191002,1085.2302122031,1275.0607852701
101305,G06007316,medium,False,5639.6320000000005,0.7130643653791515,2478.4136620581316,2467.497705705245,2478.420422088132,2429.050635388132,2189.4614016881324,2740.837138788132,2402.6137836881317,3003.423613088132
101323,G06007326,low,True,9643.987000000001,0.7130643653791515,2927.999293971024,2931.493241505669,2928.025277533523,2874.084052825524,2612.336985712523,2451.0339506115233,2081.5212721815233,1974.286713976523
101366,G06007326,medium,False,5284.965,0.7130643653791515,2302.8769636381344,2314.471413545807,2302.889589758133,2256.497397558133,2031.3833510581333,2616.075983658133,2298.285603758133,2929.445201858133
101374,G06007313,medium,False,13416.431,0.8407500276235722,6568.112884529999,6060.719162309431,6568.143062449999,6449.728340349999,5875.075462849999,5655.373095449998,4844.179626949999,4743.032456349999
101377,G06007312,medium,False,3775.219,0.7130643653791515,1568.917109800507,1670.8389425295602,1568.9258014805077,1535.7609428805079,1374.8511327805081,2107.3192257805076,1880.1613368805079,2645.8264963805077
