building_id,puma,income,is_care,annual_kwh,scaling_factor,cec_cz,tou_d_4_9_bill,tou_d_4_9_f_bill,F0_WF0_ROE0_bill,F0_WF0_ROE1.0_bill,F0_WF1_ROE0_bill,F50_WF0_ROE0_bill,F50_WF1_ROE1.0_bill,F100_WF0_ROE0_bill,assigned_pv,assigned_battery,assigned_ev,assigned_hp,ev_daily_miles,native_annual_kwh,pv_size_kw_s2,solar_gen_kwh_s2,self_sufficiency_s2,grid_import_kwh_s2_pv_stor,grid_export_kwh_s2_pv_stor,export_value_s2_pv_stor,self_consumption_kwh_s2_pv_stor,F0_WF0_ROE0_bill_s2_pv_stor,F0_WF0_ROE1.0_bill_s2_pv_stor,F0_WF1_ROE0_bill_s2_pv_stor,F50_WF0_ROE0_bill_s2_pv_stor,F50_WF1_ROE1.0_bill_s2_pv_stor,F100_WF0_ROE0_bill_s2_pv_stor,tou_d_4_9_bill_s2_pv_stor,tou_d_4_9_f_bill_s2_pv_stor,is_fully_electrified,grid_import_kwh_s1_ev,grid_export_kwh_s1_ev,export_value_s1_ev,self_consumption_kwh_s1_ev,F0_WF0_ROE0_bill_s1_ev,F0_WF0_ROE1.0_bill_s1_ev,F0_WF1_ROE0_bill_s1_ev,F50_WF0_ROE0_bill_s1_ev,F50_WF1_ROE1.0_bill_s1_ev,F100_WF0_ROE0_bill_s1_ev,tou_d_4_9_bill_s1_ev,tou_d_4_9_f_bill_s1_ev,annual_kwh_s1,pv_size_kw_s3,solar_gen_kwh_s3,self_sufficiency_s3,annual_kwh_s3,grid_import_kwh_s3_pv_ev_stor,grid_export_kwh_s3_pv_ev_stor,export_value_s3_pv_ev_stor,self_consumption_kwh_s3_pv_ev_stor,F0_WF0_ROE0_bill_s3_pv_ev_stor,F0_WF0_ROE1.0_bill_s3_pv_ev_stor,F0_WF1_ROE0_bill_s3_pv_ev_stor,F50_WF0_ROE0_bill_s3_pv_ev_stor,F50_WF1_ROE1.0_bill_s3_pv_ev_stor,F100_WF0_ROE0_bill_s3_pv_ev_stor,tou_d_4_9_bill_s3_pv_ev_stor,tou_d_4_9_f_bill_s3_pv_ev_stor
347260,G06005917,medium,False,4820.619000000001,0.8648656126453748,8,1708.9269430000047,1772.1578499999996,1697.7983967999999,1671.9464947999993,1345.8539078999995,2014.5211626999994,1636.7055239,2331.3457424000003,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347313,G06005924,medium,False,13540.194,0.8648656126453748,8,5735.141307999995,5388.55219,5721.7769143,5646.3563036,4696.058039799998,4882.762248699999,3781.692415800001,4043.982544200001,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347315,G06011109,low,True,1545.855,0.8536704995961909,6,,,459.45210676500005,453.80218896000014,382.64776056000005,555.980106825,473.54271099749997,652.5320575725,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347320,G06006520,low,True,663.1830000000001,0.8407500276235722,10,160.70062767499948,211.66114699999937,149.32749714750008,146.94429206250007,116.88375336750002,321.9516274725,287.12342304,494.58539578499995,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347344,G06003757,medium,False,3599.772,0.8648656126453748,8,1224.989804000004,1345.600519999998,1213.2107325999998,1193.9477337999997,950.9756814000001,1683.8311322000002,1402.3257614000001,2154.5287686,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347395,G06003739,high,False,14374.231,0.995376512581759,9,5985.263906999995,5599.475050000009,5974.071535,5894.379309400001,4889.6832207,5034.3940011,3870.2936389000015,4094.9130528000023,0,0,1,1,30.006396001361548,14374.231,,,,,,,,,,,,,,,,False,18025.009180165656,0.0,0.0,0.0,7450.536250246987,7352.68415378697,6119.340327769797,6087.386451285386,4658.471642667761,4724.586270543374,7461.728622246987,6904.353190779218,18025.009180165656,,,,,,,,,,,,,,,,
347397,G06005924,medium,False,3046.583,0.8648656126453748,8,1024.9370210000084,1171.5476199999978,1013.4234279000002,997.2358308,793.0972927999997,1555.9393808,1319.4217786,2098.5269240000002,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3474,G06003763,high,False,9663.147,0.8648656126453748,8,3891.294328999999,3726.9264200000025,3882.7253267000006,3829.8897033000003,3164.433125100001,3571.044441700001,2800.0039646,3259.5857995999995,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34743,G06003760,high,False,11821.005,0.8536704995961909,6,4566.708444999989,4300.921210000001,4556.281176499998,4495.491375799998,3726.5970208999993,4053.2939362999996,3162.4800278000002,3550.3819103000005,1,1,0,0,0.0,11821.005,5.574480222556594,10638.904499999997,0.8999999999999998,6568.645334253792,4893.665850587008,1196.4450773970948,5745.238649412989,1112.7681046875223,1081.3588763231205,683.7058433059103,1297.054439267219,920.4972,1840.9956000000002,1124.0831046875219,1105.1567739775928,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347430,G06006515,medium,False,12035.246,1.4172145412832236,15,4658.037521999996,4382.180960000001,4648.260252700002,4582.983754000001,3759.368977900001,4043.8640958000005,3089.5965642,3439.6434679000004,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347464,G06007103,high,False,7957.206,1.0497359105206039,14,3050.987052000001,2966.7983700000027,3042.591271600001,2998.439958400001,2442.686128400001,2934.037761700001,2290.0922909,2825.6453423000003,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347491,G06006515,medium,False,7044.8060000000005,1.4172145412832236,15,2577.3000220000026,2535.99414,2567.6897466999994,2528.1247445999993,2030.3188312999998,2566.4417059999996,1989.6251434000008,2565.302941500001,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347531,G06003741,high,False,8146.442,0.8648656126453748,8,3234.4500240000048,3141.367250000002,3222.223629900001,3177.5064433000007,2614.340180900001,3099.9494000000013,2447.4333965999995,2977.8515626,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347566,G06005912,high,False,16675.272,0.8536704995961909,6,7005.5151240000005,6511.577339999996,6994.8009741,6903.795398199999,5756.318189699999,5790.728764399999,4461.162803,4586.970177500001,1,1,1,0,34.95566355958912,16675.272,7.863626990239134,15007.7448,0.9,5723.938539789086,3588.9140763785604,1053.3508960168042,11418.83072362144,748.1596036582982,721.0475303147768,380.0490951770407,1037.076266182001,920.4972,1840.9956000000002,759.4746036582983,780.2494922882113,False,20928.211066416676,0.0,0.0,0.0,8714.794399549577,8602.633656063317,7188.795456428031,7017.402231543382,5379.343217719724,5320.501960221342,8725.508549449578,8031.682629327995,20928.211066416676,7.863626990239134,15007.7448,0.7171059558015832,20928.211066416676,8740.21929383763,2368.442785977334,965.8027884351884,12639.302014022665,2014.6338988263135,1972.8639514850513,1447.214704849562,1961.5792028814988,1352.5120233096657,1908.9527713662064,2025.9488988263136,1904.9585920159448
347606,G06003764,high,False,6768.501,0.8648656126453748,8,2593.013656999999,2564.6941099999995,2579.462410600001,2542.663953400001,2079.0333490000007,2641.495823699999,2104.317994199999,2703.6749277999998,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347609,G06011103,high,False,5941.995,0.8536704995961909,6,,,2577.6314661,2545.9875572,2146.7694672,2758.9661008000003,2296.3984184,2940.4295782,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347650,G06008303,medium,False,4902.493,0.8536704995961909,6,1801.754461000001,1861.1372900000008,1789.1438638000002,1762.1459510000007,1421.9262019000007,2079.7066979000006,1685.5086858999998,2370.3615102000003,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34768,G06003709,high,False,10685.565,0.995376512581759,9,4153.777824999999,3941.356270000005,4143.056572,4085.9024228,3364.7810232000015,3728.394490300002,2892.846147200001,3313.9473787999996,1,1,0,0,0.0,10685.565,4.832698592085258,9617.0085,0.8999999999999999,3135.178563309587,1628.734289587307,925.8554828044948,7988.274210412693,6.21422283585207,0.0,0.0,920.4972,920.4972,1840.9956000000002,17.529222835852067,301.11499999999995,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
