building_id,puma,income,is_care,annual_kwh,scaling_factor,e_tou_c_bill,e_tou_c_f_bill,F0_WF0_ROE0_bill,F0_WF0_ROE1.0_bill,F0_WF1_ROE0_bill,F50_WF0_ROE0_bill,F50_WF1_ROE1.0_bill,F100_WF0_ROE0_bill,assigned_pv,assigned_battery,assigned_ev,assigned_hp,ev_daily_miles,baseline_gas_therms,gas_savings_therms,pv_size_kw_s2,grid_import_kwh_s2_pv_stor,grid_export_kwh_s2_pv_stor,export_value_s2_pv_stor,self_consumption_kwh_s2_pv_stor,self_sufficiency_s2_pv_stor,F0_WF0_ROE0_bill_s2_pv_stor,F0_WF0_ROE1.0_bill_s2_pv_stor,F0_WF1_ROE0_bill_s2_pv_stor,F50_WF0_ROE0_bill_s2_pv_stor,F50_WF1_ROE1.0_bill_s2_pv_stor,F100_WF0_ROE0_bill_s2_pv_stor,e_tou_c_bill_s2_pv_stor,e_tou_c_f_bill_s2_pv_stor,grid_import_kwh_s1_ev,grid_export_kwh_s1_ev,export_value_s1_ev,self_consumption_kwh_s1_ev,self_sufficiency_s1_ev,F0_WF0_ROE0_bill_s1_ev,F0_WF0_ROE1.0_bill_s1_ev,F0_WF1_ROE0_bill_s1_ev,F50_WF0_ROE0_bill_s1_ev,F50_WF1_ROE1.0_bill_s1_ev,F100_WF0_ROE0_bill_s1_ev,e_tou_c_bill_s1_ev,e_tou_c_f_bill_s1_ev,pv_size_kw_s3,grid_import_kwh_s3_pv_stor_ev,grid_export_kwh_s3_pv_stor_ev,export_value_s3_pv_stor_ev,self_consumption_kwh_s3_pv_stor_ev,self_sufficiency_s3_pv_stor_ev,F0_WF0_ROE0_bill_s3_pv_stor_ev,F0_WF0_ROE1.0_bill_s3_pv_stor_ev,F0_WF1_ROE0_bill_s3_pv_stor_ev,F50_WF0_ROE0_bill_s3_pv_stor_ev,F50_WF1_ROE1.0_bill_s3_pv_stor_ev,F100_WF0_ROE0_bill_s3_pv_stor_ev,e_tou_c_bill_s3_pv_stor_ev,e_tou_c_f_bill_s3_pv_stor_ev,annual_kwh_s3
67250,G06004103,medium,False,5271.228999999999,0.8624372092015187,2316.4297640600007,2295.11021419,2316.3479,2288.8026348,1635.227778,2660.1947755,1951.3110872,3003.6467522,1,1,1,0,10.53809461701483,92.51199801768716,92.51199801768716,2.959542733619823,2308.2918356546943,1470.5701476071938,1123.6894016668743,3273.5359523928073,0.6210194913544465,0.0,0.0,0.0,1062.3084,1062.3084,2124.6168,0.0,295.15596,6553.363845070138,0.0,0.0,0.0,0.0,2890.6543855173554,2856.9218536978874,2056.933169177824,3073.553995741151,2205.8282021996038,3255.9304936804383,2890.7523728621195,2783.4913243270717,2.959542733619823,3336.7235185318414,1216.7679177647076,1090.709404161842,3527.338182235293,0.5382484882002674,310.9772494705446,293.95581464145675,0.0,1062.3084,1062.3084,2124.6168,311.03993750965924,409.712860901636,6553.363845070138
67344,G06001700,high,False,47768.395,0.8960338247617118,20918.304935540003,18068.01070069,20918.0626124,20688.2592881,15258.960150100002,16011.875759700002,10121.741112100002,11101.0123978,0,0,1,0,39.432815570823,71.17964202949989,71.17964202949989,,,,,,,,,,,,,,,52566.05422778346,0.0,0.0,0.0,0.0,23067.07745308747,22814.12180833865,16836.95233178793,17558.63715145584,11074.126417048077,12045.040574701443,23067.38010843528,19895.498775546963,,,,,,,,,,,,,,,
67353,G06004702,medium,False,2280.259,0.8960338247617118,903.8427531600034,1076.071715790002,903.8039766000002,891.9349422,610.3331432,1656.5658239,1351.1469008,2409.156811,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67372,G06001310,high,False,5512.280000000001,0.7640705232624861,2253.484226940001,2229.8577665399985,2253.4087404,2225.5117491,1564.3109177,2588.8665304,1871.6304945,2923.852193,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67477,G06002300,high,False,5331.317999999999,0.9251399469182336,2153.5372100400045,2130.823302959998,2153.49900594,2127.42411424,1510.87722464,2538.04122324,1869.20759254,2922.0882352399994,1,1,0,0,0.0,16.49048780792218,16.49048780792218,3.0343202173606194,3281.597892851494,2448.7713190477416,1298.1559786502964,2349.4148809522567,0.440681812818567,48.299543204794645,32.188060162567126,0.0,1062.3084,1062.3084,2124.6168,48.32384830087062,295.15596,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67523,G06001700,medium,False,5054.595,0.8960338247617118,1996.730585130003,2009.542364280001,1996.6599258,1971.1104357,1365.5175384,2393.2458428,1736.3228925,2789.39503,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67534,G06008105,high,False,7369.495,0.7640705232624861,3154.3836331100047,2992.4173132600067,3154.3025815999995,3117.6812638,2250.5145093,3263.3271189,2322.6050333000003,3371.6801195,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67538,G06008510,medium,False,6955.7880000000005,0.8079209467363546,2860.0476840799984,2739.662882440005,2859.9722996,2825.5129511,2009.6862915,3025.4428992,2140.4210959,3190.2765328,0,0,1,0,19.345677219489197,74.67441489713977,74.67441489713977,,,,,,,,,,,,,,,9309.512061704518,0.0,0.0,0.0,0.0,3914.275596131346,3868.457755679873,2783.846770783657,3784.2816021258136,2607.659826672829,3653.415269714104,3914.3805794975024,3636.2256540014428,,,,,,,,,,,,,,,
67570,G06005700,medium,False,1065.285,0.9319106755115256,414.8900798999992,653.8309504500005,414.8719869,409.3196355,277.56627330000003,1332.3501784,1189.4498936999998,2249.7480197,0,0,1,0,13.53484521677324,0.0,0.0,,,,,,,,,,,,,,,2712.024501374077,0.0,0.0,0.0,0.0,994.9686854682927,981.4695752800237,661.6662317687208,1705.730539457038,1358.8177281585872,2416.247369295643,995.0074867814706,1147.0499138439639,,,,,,,,,,,,,,,
67571,G06003100,medium,False,11954.205,0.908243292944524,5170.125603609999,4735.507954460002,5169.9497986,5109.194537699999,3668.8422172,4648.912624,3086.5313647,4126.8684818,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
